sample	Actinobacteria	Bacteroidetes	Cyanobacteria	Firmicutes	Fusobacteria	Proteobacteria	TM7	Tenericutes	Verrucomicrobia	Actinomyces	Rothia	Bifidobacterium	Atopobium	Collinsella	Eggerthella	Bacteroides	Parabacteroides	Prevotella	Rikenellaceae_un	S24-7	Barnesiellaceae_un	Odoribacter	Paraprevotella	Rummeliibacillus	Staphylococcus	Gemella	Enterococcus	Lactobacillus	Pediococcus	Lactococcus	Streptococcus	Turicibacter	Clostridiales_un	Christensenellaceae_un	Clostridiaceae_uc	Clostridiaceae_un	Clostridium	Lachnospiraceae_uc	Lachnospiraceae_un	Blautia	Coprococcus	Dorea	Epulopiscium	Lachnobacterium	Lachnospira	Roseburia	Ruminococcus	Peptostreptococcus	Ruminococcaceae_uc	Ruminococcaceae_un	Faecalibacterium	Oscillospira	Ruminococcus	Veillonellaceae_uc	Acidaminococcus	Dialister	Phascolarctobacterium	Veillonella	Mogibacterium	Erysipelotrichaceae_un	Coprobacillus	Eubacterium	Fusobacterium	Sutterella	Bilophila	Enterobacteriaceae_uc	Enterobacteriaceae_un	Klebsiella	Haemophilus	Vibrio	Akkermansia
1	0.000905495	0.003955583	0.000142973	0.985845685	9.53E-05	0.009007292	4.77E-05	0	0	0.000428919	0.000333603	0	0	9.53E-05	0	0.003907925	0	4.77E-05	0	0	0	0	0	0	0	9.53E-05	0.000953153	0.553686317	0.000142973	0	0.39794119	4.77E-05	0.000381261	0	0.000714864	0.004336844	0.005528285	0.001953963	0.001096125	9.53E-05	0	0	0	0	0.000381261	0	0.004670448	9.53E-05	0	0.000524234	0.000142973	0	4.77E-05	0	0	0	0	0.000381261	0	0.000238288	0	4.77E-05	9.53E-05	0.000714864	0	9.53E-05	0.007196302	0	0.000285946	4.77E-05	0
2	0.008131961	0.791999075	0	0.168381701	0.00385401	0.026978071	0	3.85E-05	0.000578102	0.000732262	0.003545689	0.00011562	0.001425984	7.71E-05	0.002196786	0.783481713	0.000886422	0.001310363	0.004470652	0.000423941	0.00011562	0	0	3.85E-05	7.71E-05	0.000539561	0.000423941	0.000616642	0	0.00011562	0.052722858	0.001079123	0.000539561	3.85E-05	7.71E-05	0.000423941	0.002813427	0.001657224	0.037769299	0.002967588	0.000655182	3.85E-05	3.85E-05	0.000501021	7.71E-05	0.00015416	0.021004355	0.00011562	3.85E-05	0.001849925	0.000578102	0.008363202	0.000308321	3.85E-05	0.00011562	0.004663352	0	0.007129919	0	0.003352989	3.85E-05	0.005626855	0.00381547	0.005472694	0	0.000269781	0.016726404	0	0.002312406	3.85E-05	0.000578102
3	0.000340716	0.496422487	0.000136286	0.49867121	0	0.003543441	0	0	6.81E-05	0	6.81E-05	6.81E-05	0	0	0.000204429	0.454241908	0.018194208	6.81E-05	0.020579216	0	0.000545145	0.001022147	0	0	0	0	0.000136286	0.00088586	0	0	0.001226576	0.000749574	0.008177172	0	0.000272572	0.000817717	0.000272572	0.039931857	0.006132879	0.025349233	0.018534923	0.000136286	0	0.000136286	6.81E-05	0.00109029	0.001499148	0	0.022759796	0.157001704	0.08681431	0.00967632	0.087495741	0.000136286	0.000408859	0	0.004361158	0	0.000204429	0	0	0	0	0.001158433	0.000204429	0.000136286	0.001635434	0	6.81E-05	0	6.81E-05
4	0.040117008	0.193982449	0	0.754868366	0	0.011032177	0	0	0	0.000417885	0.00058504	0.015461763	8.36E-05	0.02306728	0	0.185791893	0.004513163	8.36E-05	0.002758044	0	0.000501463	8.36E-05	0	0	0.000250731	0	8.36E-05	0.001002925	8.36E-05	0	0.006936899	0.000250731	0.025240284	0	0.000250731	0.001002925	0.000167154	0.06109486	0.157960719	0.045382365	0.008775595	0.001337234	0	0.005265357	0.000250731	0.075637275	0.004429586	0	0.016297534	0.169076473	0.038278312	0.002089427	0.008524864	0.000167154	0.001504388	0.000334308	0.003008776	0.000752194	8.36E-05	0.001253656	0	8.36E-05	0	0.009945675	0	0	0.000752194	0	8.36E-05	0	0
5	0.003919184	0.018244476	0	0.927968106	6.76E-05	0.049800662	0	0	0	0.000337861	6.76E-05	0.001959592	0	0.001419015	0	0.015676735	0.00094601	0	0.001283871	0	0.000270289	0	0	0	6.76E-05	0	0.000270289	0.033110345	0	0	0.005946348	6.76E-05	0.006554497	0	0.807216704	0.008851949	0.007095074	0.006824785	0.008514089	0.004865194	0.000608149	0.000540577	0	0.000405433	6.76E-05	0.005000338	0.001351443	0	0.000337861	0.009257382	0.00317589	0.000540577	0.002432597	6.76E-05	0	0	0.001689303	0.001351443	0	0.000270289	0	0	6.76E-05	0.001013582	0	0.000405433	0.046084195	0.000405433	6.76E-05	0.001486587	0
6	0.004959182	0.238193332	0.000915541	0.732661936	0	0.014953841	0	0	0.008316167	0	7.63E-05	0.002975509	0	0.000839246	0	0.180972	0.014267185	7.63E-05	0.013199054	0	0.025558862	0.001602197	0.001220722	0	7.63E-05	0	0	0.001754788	0	0	0.00373846	7.63E-05	0.025787747	0	0.035782406	0.001297017	0.001220722	0.087663081	0.191195544	0.060120546	0.005035477	0.001831083	0	0.00015259	0.003509575	0.083390555	0.002212558	0	0.005874723	0.12916762	0.026779583	0.010986496	0.01045243	7.63E-05	0	0.005493248	0.00030518	0.000228885	0.000228885	0.001373312	0	0	0	0.009002823	0.000991836	0	0.002212558	0	7.63E-05	0	0.008316167
8	0.016863017	0.15979441	0.0001155	0.709343959	0.00017325	0.106722107	0	0.005486255	0.001443751	5.78E-05	5.78E-05	0.000519751	0	0.012358512	0.00017325	0.119427119	0.006583507	0	0.020732271	0	0.009413259	0.002829753	0	0	0.0001155	0.00028875	5.78E-05	0.01992377	0	0	0.000866251	0.001039501	0.038519289	0.005082005	0.000231	0.001963502	0.002310002	0.062023562	0.081427581	0.016805267	0.006063756	0.002367752	0.0001155	5.78E-05	0.003522754	0.003984754	0.021887272	5.78E-05	0.011781012	0.271021021	0.074613075	0.008604759	0.0499538	0.000462	0.0003465	0.000866251	0	0.003927004	0.000519751	0.001270501	0	0.00017325	0.00017325	0.004042504	0	0.001559252	0.09020559	0.00028875	0.000231	0	0.001443751
28	0.002554896	0.000897666	0	0.96533628	0.000759564	0.030313493	0	0	0.000138102	0.000276205	0.000897666	0.000621461	0.000345256	0	0.000345256	0.000414307	6.91E-05	0.000345256	6.91E-05	0	0	0	0	0	0.000828615	0.000276205	0.000345256	0.000276205	0	0.000276205	0.145767159	0.000690512	0.020577268	0	0.000897666	0.01008148	0.002554896	0.090111863	0.050545505	0.014846016	0.002692998	0.00055241	0	6.91E-05	0.018574782	0.357063941	0.019472449	0	0.023270267	0.111863002	0.028794365	0.005316945	0.015329374	0.000276205	0.000207154	0.000621461	0	0.003521613	0	0.002071537	6.91E-05	0.00055241	0.000759564	0	0	0.000138102	0.018229526	0	0.010288634	6.91E-05	0.000138102
9	0.066280009	0.060220452	0	0.847443444	0.00028855	0.025478994	0	0.000201985	2.89E-05	0.000461681	5.77E-05	0.051102262	0	0.011397738	0.000750231	0.048995845	0.000201985	5.77E-05	0.010734072	2.89E-05	0.000144275	0	0	5.77E-05	0.000317405	2.89E-05	0.005540166	0.021843259	2.89E-05	0	0.0625	0.000779086	0.041147276	0.000201985	0.001990997	0.006925208	0.003116343	0.073234072	0.115564404	0.017572715	0.005799861	0.003202909	0.00023084	0.000201985	0.033933518	0.038752308	0.014946907	0	0.01295591	0.20045591	0.075023084	0.002798938	0.037742382	0	2.89E-05	0.000865651	8.66E-05	0.000894506	2.89E-05	0.000519391	2.89E-05	5.77E-05	0.00028855	0.01800554	0.000605956	0.000259695	0.005309326	2.89E-05	0.000692521	0	2.89E-05
41	0.001474851	0.002949702	0	0.980521792	0.000559426	0.014494228	0	0	0	0.000101714	0.00116971	0	0.000152571	0	0	0.002695418	0.000203428	5.09E-05	0	0	0	0	0	0	5.09E-05	0	0.000254285	0.084778518	0	0.021309058	0.183746122	0.000203428	0.006611402	0	0.216040279	0.262574378	0.026598179	0.001220567	0.000762854	0.000254285	0.000101714	0	0	0	0	0.000101714	0.000966282	0	0.000203428	0.000508569	0.000152571	0	0.000152571	0.000305142	0	0	0	0.001779993	0	0.000559426	0	0	0.000559426	5.09E-05	0	0.000355999	0.012612521	5.09E-05	0.000508569	0.000254285	0
