sample	Acetamide	Acetatic_acid	Aminoacetone	Histamine	Valine;_Betaine	2-Hydroxymethylclavam	psi-Pelletierine	L-2-Amino-4-methylenepentanedioic_acid	Pimelate	Propylhydroxypentanoic_acid	Tetrahydrodipicolinate	Gabapentin	Acetyl-Asp;_Berteroin	Calystegin_B2	Potassium_2-(1''-ethoxy)_ethoxypropanoate	1-Isothiocyanato-7-(methylthio)heptane	"N-Methylcalystegine_C1;_Dihydro-2,4-dimethyl-6-(2-methylpropyl)-4H-1,3,5-di..."	"2-(2,6-dihydroxy-3,4-dimethoxycyclohexylidene)acetonitrile"	N-Acetyl-b-glucosaminylamine	N-Acetylgalactosamine;_2''-Deoxysepiapterin	Methyl_dihydrojasmonate	"3,3''-Dithiobis[4,5-dihydro-2-methylfuran]"	Trimetaphosphoric_acid	D-glycero-L-galacto-Octulose	Melatonin_radical	Ascorbalamic_acid	Lactapiperanol_C	"2-trans,4-cis-Decadienoylcarnitine"	N-desmethylalmotriptan	"(ent-2b,4S,9a)-2,4,9-Trihydroxy-10(14)-oplopen-3-one_2-(2-methylbutanoate)_..."	Diphenoxylate	Dolicholide	Goshonoside_F1	Tangeraxanthin	Spirolide_E	"1,2-Di-O-myristoyl-3-O-(6-sulfoquinovopyranosyl)glycerol"	14-hydroxyclarithromycin	Azaspiracid_4	Cyclopassifloside_III	"PGP(16:0/20:4(5Z,8Z,11Z,14Z))"	Deltonin	Araliasaponin_II	Tragopogonsaponin_M	"CDP-DG(18:2(9Z,11Z)/a-15:0)"	"PIP(16:0/22:4(10Z,13Z,16Z,19Z))"	Adrenorphin	Tricyclazole	Chlorophyll_b	Araliasaponin_I	Glycolate	Methyl_propenyl_ketone	Succinic_aldehyde	Phenol	Cyclohexanone	2-Vinylthiophene	2-Thiophenecarboxaldehyde	Furoic_acid	Uracil	C6:2	Dihydrouracil	Itaconate	"2,3-Dihydro-5-methyl-3-thiophenethiol"	2-Methylerythritol	4-Propylphenol	Alloxan	Coumarin	Acetaminophen	Levetiracetam	Glycylproline	Phenol_sulfate	Aconitate	Shikimate	Formimino-Glu	(+/-)-3-[(2-methyl-3-furyl)thio]-2-butanone	N-(3-acetamidopropyl)pyrrolidin-2-one	p-Cresol_sulfate	(Iso)Citrate	N-Nitrosothialdine	1-Acetyl-2-methylcyclopentene	4-Aminohippuric_acid	4-Hydroxypropofol	Lycoperdic_acid	Ethyl_glucuronide	2-Bromo-1H-indole-3-carboxaldehyde	"[6-(2H-chromen-2-ylidene)cyclohexa-2,4-dien-1-ylidene]oxidanium"	Prolylhydroxyproline	Asparaginyl-Proline	1-Isopropyl_citrate	6-Succinoaminopurine	Benzoylmalic_acid	Acetaminophen_cystein	"1-(9H-Pyrido[3,4-b]indol-1-yl)-1,4-butanediol"	Lenalidomide	3-Hydroxy-4-butanolide	Isoniazid_alpha-ketoglutaric_acid	3-(Cystein-S-yl)acetaminophen	[(7-hydroxy-1-oxo-1H-isochromen-3-yl)methoxy]sulfonic_acid	Fukiic_acid	modafinil_acid	{[1-(4-methoxyphenyl)pentan-3-yl]oxy}sulfonic_acid	"5-(4-Acetoxy-1-butynyl)-2,2''-bithiophene"	"3,4,5-trihydroxy-6-[(3-methylbut-2-enoyl)oxy]oxane-2-carboxylic_acid"	Triethyl_citrate	2-hydroxy-3-[4-hydroxy-3-(sulfooxy)phenyl]propanoic_acid	Dehydroxymethylflazine	1-Methoxyspirobrassinin	"6-(1-carboxy-1-methylethoxy)-3,4,5-trihydroxyoxane-2-carboxylic_acid"	Phlorin	Chlorosesamone	Wasalexin_A	{[(3E)-4-(1-oxo-1H-isochromen-3-yl)but-3-en-2-yl]oxy}sulfonic_acid	"6-(3-ethenylphenoxy)-3,4,5-trihydroxyoxane-2-carboxylic_acid"	Dimethyl_fukiic_acid	"5-(3'',4'',5''-Trihydroxyphenyl)-gamma-valerolactone-3''-O-sulphate"	{3-[(2E)-3-phenylprop-2-enoyl]phenyl}oxidanesulfonic_acid	N-Acetylaspartylglutamic_acid	Mono-trans-p-coumaroylmesotartaric_acid	{[(3E)-4-(5-hydroxy-1-oxo-1H-isochromen-3-yl)but-3-en-2-yl]oxy}sulfonic_acid	Valaciclovir	Dihyroxy-1H-indole_glucuronide_I	trans-o-Coumaric_acid_2-glucoside	Humilixanthin	Acetaminophen_glucuronide	Menadiol_disulfate	Docosadienoate_(22:2n6)	Maltitol	2-hydroxy-3-[3-(4-hydroxy-3-methylbut-2-en-1-yl)-4-(sulfooxy)phenyl]propano...	N1-(2-Hydroxyethyl)flurazepam	Idoxuridine	"[3-(3,5,7-trihydroxy-4-oxo-3,4-dihydro-2H-1-benzopyran-2-yl)phenyl]oxidanes..."	"{[3,4,5-trihydroxy-6-(2,4,6-trihydroxyphenyl)oxan-2-yl]methoxy}sulfonic_acid"	3-O-Feruloylquinic_acid	Octadecyl_fumarate	"(E)-26,27-Dinorergosta-4,22-dien-3-one"	3-hydroxytridecanoyl_carnitine	1-O-Sinapoylglucose	C26:0	MG(a-21:0/0:0/0:0)[rac]	"7,11,12-Triacetoxycoumestan"	"{[3,4-dihydroxy-5-(hydroxymethyl)-2-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxa..."	MG(0:0/24:1(15Z)/0:0)	3-cis-Hydroxyglipizide	Oxazepam_glucuronide	Eremopetasitenin_B2	Biotripyrrin-a	Melledonal_B	"erythro-8,10-Hentriacontanediol"	D-Galactopyranosyl-(1->3)-D-galactopyranosyl-(1->3)-L-arabinose	Temocapril	"4-(6-carboxy-2,3,4-trihydroxyphenoxy)-4'',5,5'',6,6''-pentahydroxy-[1,1''-b..."	Chatenaytrienin_1	Piperacillin	Cortolone-3-glucuronide	"Methyl_3,4-dicaffeoylquinate"	"4-{[4-(Diethylamino)phenyl](2,4-disulfophenyl)methylene}-N,N-diethyl-2,5-cy..."	5''''-(4-Hydroxy-(E)-cinnamoyl)_alpha-L-arabinofuranosyl-(1->3)-beta-D-xylo...	Phloretin_xylosyl-galactoside	<i>para</i>-hydroxyatorvastatin	Mulberrofuran_Q	Ferrocytochrome	Castacrenin_A	Sucrose_monostearate	3''-Sialyllactose	Myricanol_5-laminaribioside	DG(i-20:0/a-25:0/0:0)	CE(15M5)	"5,13-bis(3-hydroxyphenyl)-18-[3,5,7-trihydroxy-2-(3-hydroxyphenyl)-3,4-dihy..."	Tin	Phenelzine	Orotate	"1,3-Diisopropylbenzene"	Paracetamol_sulfate	"4-Hydroxy-8-methoxy-2H-furo[2,3-h]-1-benzopyran-2-one"	Indole-3-carboxilic_acid-O-sulphate	Dehydroisochalciporone	Clodronate	2-Hydroxyacetaminophen_sulfate	Furosemide	"2-Methyl-1,4-naphthalenediol_bis(dihydrogen_phosphate)"	4-Hydroxyestrone_sulfate	Glisoxepide	TG(8:0/8:0/i-12:0)	CE(11:1D3)	SM(d18:1/24:0)	"PS(22:2(13Z,16Z)/24:1(15Z))"
P1.1	-0.72608	3.5581	-0.53978	-0.2899	-0.033625	-0.80714	-0.21206	-1.2934	-0.38456	-0.61322	-0.72156	-0.10839	-0.60679	-0.29399	-0.1184	-0.1884	-0.11301	0.2075	0.31528	-1.6264	-0.37344	2.024	-0.069698	-0.87192	-0.52964	-1.3052	2.864	1.1482	-0.99809	1.9824	0.41273	3.8677	1.019	2.0418	0.20073	-0.088084	0.11269	4.2466	3.1085	0.57846	0.99046	-0.175	1.1749	2.7422	0.033815	1.0125	1.9585	1.0163	0.34744	-1.0323	-1.2738	1.2517	-1.199	-0.33056	-1.0486	-0.51999	-0.92757	-0.81944	-1.6279	-0.066301	-1.1222	-0.00087568	-0.65281	-0.57047	0.1838	-1.3568	-0.48696	-0.84572	0.12643	-0.34521	-0.70996	-0.91205	-1.7824	-1.3818	-0.66942	-0.69664	-0.50629	-1.0341	-0.53259	-0.82602	-1.1018	-0.86536	-0.087677	-0.28316	-0.27586	-0.50058	-1.4245	-0.98872	-0.92826	-1.6952	-0.83924	-0.08051	-1.4455	-0.9622	-0.77456	-0.49904	-0.86256	-1.1498	-0.76414	-0.56521	-0.66812	-0.66268	-1.2778	-0.69782	-0.37722	0.64916	-0.68832	-0.92525	-0.29025	-0.60792	-1.3025	-1.1826	-2.1496	-0.32351	-0.3171	-1.8175	-1.8152	-1.1373	-1.1024	-1.8692	-1.3986	-0.87106	-0.46303	-0.96771	-0.50004	-0.20581	-0.51882	-0.58509	-1.1449	-0.53169	-0.85589	-0.74279	-0.69925	-0.49101	-0.35404	-0.7657	-0.086574	0.19054	-0.61913	-0.47175	0.032748	0.28881	-0.72195	-0.65858	0.040635	0.32743	0.73184	-0.85503	-1.3358	-0.37896	0.12105	-0.29041	-0.34294	-0.84594	-1.2728	-0.95617	-0.56929	-0.24062	-1.042	-0.85617	-0.42123	1.7614	-0.35272	-1.3007	-0.80244	-0.50434	-0.68031	0.5747	-0.45292	-0.72658	-0.40247	-0.36451	-0.75244	-0.44338	-0.37728	-0.42214	-0.4522	-0.55961	-1.1136	-0.50305	-0.66127	0.29036	-0.86453	-0.74537	-0.4164
P1.2	5.0437	0.099629	-0.74438	-0.12337	-0.70432	2.1785	0.87382	1.7626	-0.28407	1.7516	1.2061	-0.10381	1.2917	0.25634	1.5848	0.39191	-0.088568	-0.038344	0.47298	2.9885	2.7622	0.51077	0.034849	0.75622	3.5224	0.33326	4.7905	1.2116	5.1281	1.5982	0.54197	2.6187	0.15021	4.3517	0.14249	-0.004646	0.16416	1.0267	1.6273	2.4282	0.58852	-0.10147	0.48487	-0.7855	0.66413	-1.4557	1.1383	-0.71148	-0.10265	1.6271	3.1326	-0.9787	0.89954	0.94368	2.0108	0.17058	-0.62546	-0.53681	-0.59779	-0.97676	-0.63615	0.097651	-0.40145	0.020964	1.3476	-0.14507	1.5581	-0.31116	0.71479	-0.51105	-0.74927	-0.78359	-1.3055	0.54384	-0.59214	-0.41544	-0.31177	-0.89622	-0.49458	-0.7095	2.9388	-0.49187	-0.69341	-0.046851	-0.4949	-0.64276	-0.56987	-0.75171	-0.18024	-0.47204	-0.82264	-0.79701	0.18569	-0.030011	0.18499	-0.28733	-0.78056	0.46582	0.28597	-0.21814	-0.66093	1.3508	-0.83983	-0.46253	0.3909	-0.5831	0.32945	1.6231	-0.28843	-0.26847	-0.94761	-0.88753	-0.39756	-0.62971	0.4733	-0.81935	-0.82539	-0.88847	1.2463	0.63557	-0.60057	-0.50199	1.0794	-0.31022	0.39872	-0.17828	-0.33636	-0.33954	-1.0051	-1.0825	-0.79686	-0.73847	-0.26904	-0.25909	0.70889	-0.44655	1.8194	3.589	-1.431	-0.6616	4.0791	-0.56103	-0.7275	-0.51281	-0.91588	-1.1123	-0.19709	-0.41856	-0.18879	-0.97359	0.49727	-0.28258	-0.61519	-1.2384	-1.057	-0.77816	-0.6409	-0.43408	-0.94042	-1.1579	-1.2396	-0.54502	-0.72391	-0.78497	-0.3427	-0.68522	-0.8181	0.76063	1.3865	-0.4026	3.5114	-0.35455	-0.32495	-0.74304	-0.30743	0.31837	-0.43624	-0.65881	-0.6044	-0.51355	-1.0782	1.1916	-3.8626	-1.0534	-0.67181
P1.3	-0.21109	0.15372	-0.85801	-0.51144	-0.68492	-0.59015	-0.22647	-1.3341	-0.26112	-0.57558	0.22184	-0.10529	-0.13445	-0.38472	-0.39946	-0.10221	-0.88678	-0.47142	-0.37017	-0.93999	2.1433	-0.11342	-0.10899	-0.81699	-1.7443	-0.77537	-0.37226	-0.53051	0.18956	-0.24802	-0.83866	0.24378	-0.66662	-0.87356	0.0093003	-0.33074	-0.32143	-0.51313	-0.24754	0.48209	-1.5447	-0.22983	0.07394	-0.39413	1.3023	-1.19	-0.36266	-0.48711	-0.44112	-1.0922	-0.85855	-0.24301	-1.1243	0.54635	-0.10194	2.4192	0.28334	-0.097777	-1.1777	0.90969	-0.017407	0.58861	-0.60577	-0.51846	2.0139	-1.399	1.844	-1.0403	-0.28761	0.066855	2.9733	-0.86768	-1.7528	0.086839	-0.61058	-0.14749	-0.43949	-0.93005	-0.5293	-0.81891	-1.0424	-0.93638	-1.0901	-0.13753	-1.5035	-0.54963	0.47458	-0.95119	-0.97112	-1.6844	-1.4764	-0.90787	-0.75324	-1.2553	-0.97252	5.0289	-0.62062	4.4232	-1.601	-1.0009	-0.6877	-1.6731	-1.3043	-0.03066	-0.61292	-0.43956	3.4549	-1.0554	7.3694	3.5572	-1.4172	-1.433	-0.90415	-0.16944	3.2706	0.39526	-1.6396	-0.98045	-0.8604	-1.7997	-1.5112	-0.54292	-0.4368	5.0437	-0.95457	6.9442	-0.2549	-0.23397	-0.40924	-0.05439	0.37116	-0.71157	-0.78216	-0.43194	0.12301	7.1723	-1.0226	-0.50677	0.67277	-0.23337	1.1321	2.4033	-0.66565	6.5392	6.3208	-1.1778	-0.33119	-0.7244	4.5022	4.1552	-0.034748	-0.19127	-0.77712	0.47937	-0.24081	-0.4924	-0.16321	-0.42574	0.74498	0.70176	5.2624	-1.0768	-0.66359	-1.5679	-0.55818	-0.28698	5.1677	1.4833	-0.50766	0.43648	-0.053215	2.324	0.38948	0.70505	7.6332	1.319	3.1489	4.2791	-0.1302	6.2623	2.9719	-0.3399	4.1204	-0.29677	-0.02937
P1.4	-0.32058	0.50624	-0.68638	-0.58432	-0.77977	0.5078	-0.080434	3.162	-0.0051375	-0.29392	1.8488	-0.10619	-0.049013	-0.010888	0.26675	-0.13649	0.06943	-0.44507	-0.5991	0.25716	-0.34256	-0.13982	-0.19017	1.6756	-0.31811	3.1763	-0.53977	-0.69659	-0.33325	-0.88589	-0.68429	-0.63511	-0.59352	-1.3609	-0.15345	-0.3725	-0.49183	-1.604	-1.4278	-1.6087	-1.2878	-1.1467	-1.1913	-1.3739	-1.3935	-1.1737	-0.42311	-1.5697	-1.4391	2.078	0.023138	1.1477	0.85538	-0.47243	0.73666	-0.11983	2.7429	-0.74256	1.4595	0.34269	1.6106	0.17097	0.398	0.20202	0.054201	1.5333	1.7169	0.55092	-0.35972	-0.32376	1.5318	0.86123	0.75797	1.9177	-0.53471	-0.83447	3.2751	1.0585	-0.094377	0.17865	-0.030101	0.72436	0.63733	-0.38622	0.55993	-0.44932	0.04382	1.1573	1.6707	-0.11389	0.76693	-0.60811	-0.082239	1.1431	3.6355	1.162	-0.22641	0.45489	0.11676	0.32708	-0.50199	0.35205	1.2826	0.36489	0.095264	2.714	0.79423	-0.096091	0.89359	0.46141	1.5645	0.13792	0.69929	0.12762	0.63318	1.0584	0.38163	0.18747	0.061792	0.92102	0.26018	0.27151	7.7416	2.6229	-0.47557	0.038989	-0.12433	-0.19853	0.77277	0.6483	4.639	1.7518	2.0133	0.6729	-0.83397	0.32838	-0.16247	-0.8909	0.26012	1.1678	-0.0019459	-0.13956	-0.17791	-0.13863	-0.30532	-0.37625	-0.33164	0.96062	-0.053644	0.25334	-0.65981	-0.19379	0.32962	1.6096	0.4151	0.067159	0.22678	-0.36043	1.0735	0.38019	0.015024	-0.2889	1.9701	0.96339	0.065453	0.31524	0.23614	-0.17474	0.0047272	-0.69942	0.65987	4.587	0.59433	0.86466	-0.1783	-0.0058142	5.3459	1.1486	0.38974	0.48817	0.185	-0.42974	0.70349	0.33136	-0.038136
P2.1	0.92948	1.7932	0.1186	-0.52093	0.37259	0.30532	0.57502	1.4984	0.14996	-0.087908	1.5514	0.048245	-0.16776	0.84534	1.5248	9.7912	1.6757	-0.40993	1.1011	1.5235	0.51566	7.2842	-0.12635	5.3854	2.5699	1.1002	-0.6729	-0.37385	0.86759	-0.49054	-0.237	-0.37519	-0.26002	-0.65638	-0.40947	-0.13037	-0.28673	0.89796	0.9849	0.42594	2.7746	0.96134	0.84602	2.0318	1.3058	0.72649	7.7193	0.93353	2.8947	-0.064422	-0.78457	-0.33855	-0.36545	-1.3775	-0.38879	-1.1873	-0.56016	-0.51834	-0.46606	0.099599	-0.9195	9.5116	-0.2484	-0.44769	0.085679	-0.41822	-0.45568	0.026931	-0.43266	7.181	0.53461	-0.050235	-0.05671	-0.46465	-0.2834	-0.12809	-0.35323	-0.58644	-0.33243	-0.3206	-0.43277	-0.16751	0.7441	0.14823	0.69247	0.084765	-0.52566	0.66887	0.81036	-0.065856	0.25874	-0.33278	0.047661	0.82982	0.86323	-0.18184	-0.1261	-0.24793	-0.5689	-0.027058	-0.23651	0.27616	0.00253	2.5134	-0.086704	0.079014	0.55925	0.37046	-0.2721	-0.26504	0.31201	-0.37398	-0.39552	0.45198	2.2262	0.65654	0.10582	0.29164	1.5592	0.55972	0.02226	0.52492	-0.29402	-0.13958	-0.46647	-0.044306	-0.12793	-0.333	-0.45974	-0.42412	0.37731	0.10266	-0.16989	-0.14067	0.1251	0.042071	-0.27847	0.67132	0.80835	0.84577	2.1978	0.42364	-0.54286	0.12812	0.0095355	-0.53926	-0.35318	0.73943	-0.3096	-0.19969	-0.61906	-0.18926	0.050144	-0.35845	0.62575	-0.015828	0.21531	-0.29386	0.39892	0.82596	-0.31305	-0.23686	0.478	1.1056	0.12081	-0.55063	0.2604	-0.56335	-0.40651	-0.23527	-0.60455	-0.33319	-0.34364	0.17208	-0.083169	-1.1366	-0.32179	-0.16123	0.062762	-0.22498	0.69845	-0.083044	0.12797	-0.27466	-0.38297
P2.2	-0.81749	-0.8219	-0.52064	-0.33421	-0.48774	-0.32732	-0.21465	0.3945	-0.37618	-0.81756	-0.63939	-0.10841	-0.53739	-0.17324	-0.52358	-0.1738	0.13459	-0.53457	-0.34569	-0.49333	-0.88142	-0.21802	-0.22654	0.90824	-0.60865	-0.77735	-0.81836	0.13152	-0.62273	-0.06649	0.045364	-0.66952	-0.48682	-0.40615	-0.37135	-0.094983	-0.089708	-0.73133	-0.69787	1.2388	2.0564	0.3218	0.73369	-0.089299	1.0497	1.2915	-0.39459	-0.27282	0.56133	0.019254	0.20796	0.18867	-0.35758	0.13621	-0.28592	0.74898	3.8713	-0.24305	-0.26133	0.10881	0.029284	0.054762	-0.1697	-0.30249	0.1207	-0.24641	1.2446	-0.11266	0.36697	-0.31519	0.67513	-0.21619	-0.29618	0.11335	-0.16237	-0.06071	3.9619	0.76528	0.062735	0.26049	-0.4744	0.094301	1.6474	-0.09808	1.5678	0.071849	0.70497	-0.27119	-0.27043	-0.54523	0.39959	0.030405	0.17118	0.17094	0.16516	0.17661	1.3238	-0.17768	-0.031919	-0.37042	0.54395	0.64853	-0.38566	0.47789	-0.18319	2.7825	-0.5158	-0.16044	0.31112	0.072703	0.39269	-0.41062	-0.42711	0.39471	-0.26238	-0.31694	-0.18157	0.20818	0.29367	0.3656	-0.14817	0.62616	1.3018	3.3501	-0.62858	-0.11893	-0.21465	0.014656	-0.33347	-0.25221	0.23666	-0.092717	-0.12062	-0.14455	3.3388	-0.282	-0.4656	0.027278	2.5965	0.56479	-0.4063	0.25821	1.2485	-0.33599	0.04165	0.59182	0.080627	-0.0092435	-0.4294	0.22827	-0.52985	-0.22513	0.63834	1.4956	0.037153	0.99807	-0.11517	-0.21628	0.15455	0.30486	-0.21565	-0.085893	0.98609	1.1646	-0.078461	0.018156	-0.19932	1.1853	-0.37362	-0.31154	-0.8391	4.587	0.69998	0.048418	-0.19515	0.22533	1.6073	0.41639	0.41506	-0.069188	-0.34724	0.51068	-1.0965	-0.33251	-0.37246
P2.3	-0.25355	-0.71633	-0.45831	-0.55291	-0.50677	-0.5629	-0.068625	-0.10412	-0.34764	-1.1811	-0.073358	-0.090716	-0.37867	-0.18758	0.10549	-0.17415	-0.59161	-0.46916	-0.59258	0.044474	-1.0003	-0.28523	-0.63516	0.51451	-0.51532	-0.31134	-1.0121	-0.81417	-0.10196	-0.48942	-0.36342	-1.0515	-0.36161	-0.61546	-0.35491	-0.23074	-0.42177	-0.48709	-0.88823	-0.06718	-0.55186	-0.60412	-1.154	-0.78887	-0.091621	-0.078727	-0.59274	-1.5293	-0.52024	2.0886	-0.43992	0.18867	1.3536	-1.1944	-0.29123	-0.94626	-0.12049	1.7417	1.5922	-0.016904	-0.017407	-0.21601	0.25725	-0.032722	-0.36351	2.3655	-0.44617	0.37905	-0.43007	-0.2893	-0.2406	1.7837	1.1128	1.7144	0.13812	-0.19351	-0.099841	1.0585	1.3173	2.1004	0.69097	0.93761	1.399	-0.42531	1.0538	0.65136	0.90192	2.2385	2.5848	0.90942	2.0936	0.19662	0.8231	2.5652	2.1292	-0.27631	0.4483	0.15669	1.1886	0.83875	1.4922	2.3007	2.3991	-0.26803	0.24584	-0.074994	1.2809	3.5588	-0.26934	-0.36601	1.5743	0.86203	0.71684	0.053479	0.3025	1.1128	1.6266	1.1934	3.8378	1.6598	2.7634	3.9295	-0.2518	-0.050688	1.2166	-0.16778	0.3481	4.0284	-0.15898	0.60331	1.9095	2.6945	2.3636	0.91902	-0.70612	0.76102	-0.74408	-0.59954	2.2869	3.2817	-0.7466	1.3965	-0.17201	0.76275	0.28071	0.29038	-0.27913	2.4201	1.2447	0.72871	0.52937	-0.032697	2.8408	1.8546	1.7047	1.9918	0.91905	-0.3174	2.6023	2.0341	-0.2553	0.25089	1.1037	1.5263	1.0763	0.45317	1.1363	-0.17847	-0.025433	2.1191	0.17198	-0.34356	-0.14655	2.8734	0.42433	-0.53403	-0.41137	0.053244	1.2868	1.297	1.5425	-0.45918	1.7293	-0.010806	-0.24648
P2.4	0.094814	-1.0314	0.38501	-0.20725	-0.25653	0.58055	-0.04326	1.4612	-0.16434	0.37601	0.54905	-0.10838	-0.018563	0.0018405	0.26164	0.003004	-0.026733	-0.2562	1.1032	0.92266	1.6092	-0.20856	0.057004	0.76287	1.5731	-0.1081	1.1041	0.82664	1.8577	1.2816	-0.21902	1.9059	0.25496	0.56775	-0.20349	-0.21718	0.1561	0.036553	0.007329	0.6259	1.5495	0.23498	-0.1943	0.71006	-0.27628	0.13773	0.63457	0.077599	0.90525	-0.16684	-0.33294	-1.2007	-0.83658	-0.74396	-0.54807	-0.99355	-0.82753	-0.17565	-0.86129	-0.33073	-0.63055	-0.35075	-0.36855	-0.21073	-1.9452	0.29713	-0.34879	-0.04682	-0.33442	-0.52857	-0.81324	-0.46932	-1.1404	-0.44523	-0.52387	1.5612	-0.42896	-0.69079	-0.46235	-0.49028	0.2227	-0.19054	-0.47245	-0.55702	-0.47047	-0.39452	0.65897	-0.46665	-0.41945	-0.16765	0.81556	-0.083671	-0.074412	0.83629	-0.50666	-0.16916	-0.76624	-0.20295	1.1681	0.76397	-0.64753	2.0423	-0.023507	-0.95002	0.54204	-0.61034	0.29307	0.97624	-0.27551	-0.55335	-0.3713	1.3525	0.62042	-0.66613	-0.80669	1.9515	0.30036	-0.59561	0.23631	0.84623	1.5878	0.67765	-0.27132	-0.94793	-0.21604	-0.14816	-0.12038	-0.33186	-1.0634	-0.88707	-0.7494	-0.43213	-0.54564	-0.36922	0.77787	0.067273	0.8125	0.92305	0.30562	-0.40054	0.32032	0.19731	-0.089383	0.022741	-0.47988	-0.43033	-0.34912	-0.38095	-0.37311	-0.63083	-0.62222	-0.25158	-0.33997	-0.75825	0.1077	-0.49294	-0.18342	-0.33761	-0.15117	-0.47876	-0.43008	-0.29488	-0.38424	0.54447	-0.53791	-0.23306	-0.12616	-1.3393	-0.13132	-0.51077	-0.88962	-0.2755	-0.25144	-0.59297	0.20629	-1.1833	-0.48538	-0.71511	-0.74084	-0.35932	0.78785	-0.44846	-0.824	-0.46848	-0.44628
P2.5	0.45309	0.44127	0.66466	-0.47071	-0.14776	0.19358	-0.29843	1.0237	0.46381	0.37133	0.32018	-0.10747	-0.55728	-0.12095	-0.27146	-0.16025	1.3697	-0.11384	-0.40723	-0.14282	0.83874	5.4234	1.4718	-0.030158	1.7585	3.1203	-0.23958	-0.40702	-1.2517	-0.4227	-0.40325	-0.62328	-0.3529	-0.53879	-0.11003	-0.36973	-0.20451	-0.90744	-0.50364	-1.2943	-1.0084	-0.7362	-0.64267	-0.45757	-0.20244	-0.79097	0.94825	0.94816	-0.96523	-0.37636	0.13144	0.039854	-0.66652	1.0385	-0.21724	1.3091	-0.52103	0.47606	-0.5208	-0.25089	0.39531	0.13441	-0.22097	-0.29285	0.74526	0.056805	-0.32799	-0.9217	0.75988	-0.10222	-0.42759	-0.74759	-0.90362	-0.83799	-0.67709	-0.77449	-0.39934	-0.88312	-0.47132	-0.70349	-0.70003	-0.39974	1.3757	-0.1135	1.8238	-0.49585	-0.61108	-0.79378	-0.76587	-0.73227	-0.89627	-0.77647	-0.81104	-0.44849	-0.59304	-0.52925	-0.78865	0.54459	-0.8265	0.052471	-0.65182	-1.0512	-1.1325	-0.16462	0.071893	1.8857	0.94925	-0.87852	-0.2484	0.83048	-1.0248	-1.0831	-1.1693	-0.17272	0.73902	-0.91791	-0.82055	-0.9598	-0.62474	-1.0529	-1.1761	-0.39497	-0.41873	-0.47506	-0.81745	-0.19663	-0.20527	-0.38983	-0.43213	2.3795	-0.29084	-0.69981	-0.8178	-0.55234	-0.76054	-0.42671	-1.0766	0.070876	-0.43251	1.1619	-1.4017	-0.85476	-0.66014	-0.88667	-0.83485	0.60893	-0.29885	-0.68035	-0.80228	-0.022468	-0.51003	-0.28194	-0.45926	-0.52246	-0.6507	-0.84144	0.80949	-0.31267	-0.92098	-0.80088	0.30053	-1.1753	1.5211	-1.1649	-0.26441	0.84957	-0.46653	0.90545	-0.26572	0.81468	0.60846	-0.33582	-0.45715	-0.50679	-0.37446	0.10285	-0.34592	-0.19305	-0.61804	-0.44879	-1.6613	-0.29004	-0.65619	-0.47519	-0.18992
P2.6	0.01361	-0.93954	0.55949	-0.29735	-0.24267	0.68895	-0.077856	1.5764	-0.18271	0.34364	0.60531	-0.10648	0.033048	0.031496	0.30936	-0.028094	0.050878	-0.27538	1.267	1.162	1.6368	-0.19844	0.17469	0.9117	1.7164	-0.071965	1.3608	0.74069	1.9168	1.2015	-0.16804	1.9441	0.1351	0.4872	-0.075611	-0.11136	0.14841	-0.43216	1.6008	0.11153	1.1528	0.026629	-0.61764	-0.1052	0.38757	-0.70619	0.62246	0.082062	0.94513	-0.39157	-0.52222	-1.2132	-0.87065	-0.6194	-0.35211	-0.7918	-0.83589	-0.24586	-0.91178	-0.37861	-0.58827	-0.36186	-0.39763	-0.17853	-1.7835	-0.066692	-0.30449	-0.036808	-0.29225	-0.52412	-0.79089	-0.5955	-1.3811	-0.47078	-0.53301	1.7473	-0.39634	-0.8021	-0.49357	-0.56563	0.12066	-0.23469	-0.5015	-0.55926	-0.36308	-0.41117	0.54956	-0.55879	-0.45259	-0.074317	0.90063	-0.042146	-0.046824	0.65913	-0.59772	-0.12577	-0.84408	-0.18005	1.2544	0.81931	-0.66697	2.0172	-0.11447	-0.91737	0.50366	-0.6047	0.15947	0.89042	-0.17774	-0.42639	-0.56621	1.271	0.38549	-0.68295	-0.8418	2.2079	0.30271	-0.60404	0.15918	0.77941	1.5335	0.56212	-0.25309	-0.95499	-0.27415	0.002271	-0.065373	-0.38689	-1.1657	-0.88679	-0.72792	-0.59841	-0.72524	-0.48855	0.6752	0.10634	1.0353	0.9593	0.20791	-0.43459	0.29782	0.11654	-0.2191	0.019091	-0.35806	-0.61615	-0.36825	-0.48413	-0.43489	-0.69642	-0.80376	-0.25218	-0.40011	-0.93031	-0.3886	-0.46549	-0.18689	-0.34087	-0.27253	-0.6409	-0.41334	-0.32905	-0.38609	0.51337	-0.46204	-0.50985	-0.31582	-0.41735	-0.35364	-0.60902	-0.45319	-0.12775	-0.30548	-0.70638	0.20025	-1.3504	-0.44001	-0.3814	-1.0287	-0.38451	0.89303	-0.73838	-0.48797	-0.61778	-0.5582
