	P1.1	P1.2	P1.3	P1.4	P2.1	P2.2	P2.3	P2.4	P2.5	P2.6	P2.7	P3.1	P3.2	P3.3	P3.4	P4.1	P4.2	P4.3	P4.4	P4.5	P6.1	P6.2	P6.3	P6.4	P6.5	P7.1.1	P7.1.2	P7.1.3	P7.1.4
Acetamide	-0.72608	5.0437	-0.21109	-0.32058	0.92948	-0.81749	-0.25355	0.094814	0.45309	0.01361	0.09737	1.923	1.9146	-0.30124	-0.87748	1.4021	-0.25068	-0.27792	-1.0851	-0.61464	1.0508	-0.32651	-0.54528	0.8348	-0.27484	0.7587	0.46778	-0.72608	-0.81889
Acetatic_acid	3.5581	0.099629	0.15372	0.50624	1.7932	-0.8219	-0.71633	-1.0314	0.44127	-0.93954	-0.53967	1.9742	-0.17013	-0.49147	-0.61256	0.3456	-1.872	0.38615	-0.30897	-0.86033	1.5846	-0.12054	-0.58027	-1.1099	-0.012852	0.46614	-0.98141	-0.68307	-0.59765
Aminoacetone	-0.53978	-0.74438	-0.85801	-0.68638	0.1186	-0.52064	-0.45831	0.38501	0.66466	0.55949	0.40255	-0.11873	0.18279	-0.81889	-1.0105	7.437	-0.026345	-0.47346	-0.41319	-0.62472	-0.45831	0.08948	-1.1119	1.0124	-0.81411	0.61417	-0.095568	-0.52735	-0.93934
Histamine	-0.2899	-0.12337	-0.51144	-0.58432	-0.52093	-0.33421	-0.55291	-0.20725	-0.47071	-0.29735	0.43652	0.54719	-0.56826	-0.52772	-0.090447	3.5497	-0.21997	-0.40012	-0.15362	-0.04233	0.089361	-0.56913	-0.50472	-0.35029	-0.57988	-0.051887	-0.23038	-0.55092	-0.27061
Valine;_Betaine	-0.033625	-0.70432	-0.68492	-0.77977	0.37259	-0.48774	-0.50677	-0.25653	-0.14776	-0.24267	0.086725	1.7569	-0.4292	-0.49576	-0.394	0.72516	-0.54853	0.029699	-0.4292	-0.40437	0.029699	-0.45259	-0.78957	0.37259	-0.70583	-0.43419	-0.28731	-0.52777	-0.47917
2-Hydroxymethylclavam	-0.80714	2.1785	-0.59015	0.5078	0.30532	-0.32732	-0.5629	0.58055	0.19358	0.68895	-0.56759	0.56956	0.51213	-0.4223	-0.48156	2.2984	-0.72269	-0.40755	-0.63148	-0.72988	0.61534	-0.15512	-0.83151	-0.64406	0.15785	0.50352	1.0023	-0.51092	-0.62673
psi-Pelletierine	-0.21206	0.87382	-0.22647	-0.080434	0.57502	-0.21465	-0.068625	-0.04326	-0.29843	-0.077856	-0.15747	9.7065	0.13549	-0.20094	-0.25835	0.25889	-0.20981	-0.058014	-0.097803	-0.34047	0.2153	-0.21603	-0.30379	-0.26744	-0.13335	0.16949	-0.053989	-0.1998	-0.29463
L-2-Amino-4-methylenepentanedioic_acid	-1.2934	1.7626	-1.3341	3.162	1.4984	0.3945	-0.10412	1.4612	1.0237	1.5764	-1.5191	1.9849	0.69901	-0.21524	-0.18233	1.7751	-0.46616	0.029733	-0.49463	-0.46616	2.7068	-0.47142	-0.95711	-0.91023	1.5471	2.3373	1.6653	-0.29831	-0.45291
Pimelate	-0.38456	-0.28407	-0.26112	-0.0051375	0.14996	-0.37618	-0.34764	-0.16434	0.46381	-0.18271	-0.33202	3.5931	-0.24403	-0.36085	-0.15277	-0.26043	-0.40045	-0.27807	-0.17549	-0.21907	0.68553	-0.33338	-0.38408	-0.31196	1.3579	0.2048	0.0083182	-0.36961	-0.18739
Propylhydroxypentanoic_acid	-0.61322	1.7516	-0.57558	-0.29392	-0.087908	-0.81756	-1.1811	0.37601	0.37133	0.34364	-0.4843	3.8976	0.72646	-1.098	-0.36602	2.5792	-1.1076	0.14473	-0.27536	-0.44779	2.6153	-0.71387	-0.87694	-0.89428	3.6769	3.1925	0.51153	-1.0795	-0.49534
Tetrahydrodipicolinate	-0.72156	1.2061	0.22184	1.8488	1.5514	-0.63939	-0.073358	0.54905	0.32018	0.60531	-0.59822	0.14144	0.033257	0.01287	-1.0109	1.244	-0.71297	-0.14594	-0.95699	-1.0841	-0.12687	-0.63631	-0.82757	-0.89766	0.369	0.74855	0.23553	-0.082052	-1.0863
Gabapentin	-0.10839	-0.10381	-0.10529	-0.10619	0.048245	-0.10841	-0.090716	-0.10838	-0.10747	-0.10648	-0.10752	9.8958	-0.10523	-0.10782	-0.10588	0.068898	-0.10837	-0.10545	0.034968	-0.10489	-0.10734	-0.10673	-0.10791	-0.10868	-0.10693	0.0023734	-0.10849	-0.10898	-0.10828
Acetyl-Asp;_Berteroin	-0.60679	1.2917	-0.13445	-0.049013	-0.16776	-0.53739	-0.37867	-0.018563	-0.55728	0.033048	-0.25184	3.0101	-0.23082	-0.37899	-0.41572	0.51629	-0.3413	-0.29548	-0.31048	-0.54117	0.34233	-0.31498	-0.39942	-0.36142	-0.42283	0.95018	0.063134	-0.39369	-0.38316
