	G12Plate.2	D2Plate.2	H1Plate.2	B11Plate.2	A10Plate.1	H2Plate.2	D4Plate.2	B8Plate.2	B7Plate.2	E9Plate.2	A12Plate.2	E10Plate.2	C3Plate.3	F7Plate.2	G10Plate.2	H3Plate.2	G11Plate.2	B9Plate.2	G6Plate.3	F1Plate.3	G8Plate.3	C1Plate.3	A5Plate.3	G7Plate.3	G5Plate.3	F3Plate.3	E1Plate.3	F8Plate.3	F4Plate.3	F2Plate.3	D5Plate.4	F11Plate.3	E2Plate.3	F9Plate.3	E10Plate.3	B1Plate.3	E4Plate.4	D9Plate.4	A7Plate.4	H6Plate.4	B7Plate.7	B5Plate.4	B7Plate.4	B4Plate.4	H5Plate.4	B3Plate.4	D11Plate.4	E1Plate.4	A8Plate.4	G1Plate.4	A2Plate.7	B2Plate.7	E2Plate.1	A4Plate.7	B3Plate.7	F1Plate.1	F2Plate.1	F12Plate.1	G1Plate.1	B1Plate.2	A7Plate.1	B12Plate.2	F1Plate.2	B10Plate.2	D1Plate.2	C6Plate.4	C7Plate.4	G5Plate.2	E6Plate.3	A8Plate.2	G4Plate.2	C2Plate.2	C1Plate.2	A9Plate.2	D11Plate.2	H7Plate.2	D11Plate.3	D12Plate.4	D8Plate.1	A11Plate.7	B12Plate.7	A5Plate.1	H8Plate.2	F10Plate.2	A9Plate.4	F6Plate.4	C7Plate.7	C4Plate.1	A10Plate.4	D9Plate.1	F2Plate.2	A8Plate.1
5-Aminoimidazole	-0.53432	-0.041218	-0.45528	-0.41927	0.17034	-0.072956	0.38162	1.3529	0.41348	0.8845	0.33869	0.46216	0.07992	-0.26783	0.95702	1.7354	0.19313	-0.0888	1.3032	-0.4992	-0.63535	-0.67788	0.32724	0.24733	-0.4015	-0.55775	-0.36633	-0.77915	-0.33285	-0.41193	-0.27157	-0.2131	0.38491	0.038387	5.9558	1.7565	0.30995	-0.10697	1.3082	0.51092	0.12966	0.50595	-0.44892	-0.13035	-0.055485	0.20447	0.19937	-0.2371	-0.29929	-0.08158	0.32831	0.7479	-0.4791	0.31753	0.029415	-0.15687	-0.24293	-0.14105	-0.20766	-0.16581	-0.19233	-0.39919	-0.22043	-0.50446	-0.50873	-0.12201	1.2125	-0.37657	-0.28694	0.10054	-0.0542	-0.41112	-0.22771	-0.20649	-0.34045	-0.30094	-0.17598	-0.089392	-0.091902	-0.44351	0.13399	0.17922	-0.58198	3.2877	-0.39461	-0.23769	-0.24613	-0.31935	-0.17719	-0.55169	-0.4483	-0.14272
C4:0_(Butyric_acid)	-0.29709	-0.073406	0.17272	0.29872	-0.28977	1.3769	1.3226	0.3659	0.79203	0.62484	2.7636	-0.53523	-0.53183	2.4448	2.2568	0.51114	0.8191	1.2361	1.3032	-0.56332	-1.1516	-0.69107	0.89386	0.38172	0.7491	0.25129	1.3531	0.84013	0.15654	0.30162	-0.27733	0.20062	1.3324	-0.064729	3.7637	1.2509	1.8095	0.25178	2.8889	0.81447	1.0036	-0.1895	0.75026	0.60294	-0.32672	1.7483	0.58716	0.47088	1.2148	-0.23008	3.0003	1.7971	1.2286	0.77135	0.082407	0.4399	0.86998	-0.34363	-0.26133	0.24498	0.79364	0.88997	-0.014465	1.1229	0.81414	1.0699	4.2148	0.5098	-0.21908	0.84043	0.30093	0.53624	-0.20177	-0.24029	1.2066	0.063286	0.73497	0.19909	-0.23	0.20772	-0.13258	0.033398	0.59903	2.8552	-0.077444	-0.3808	0.35273	-0.13484	-0.668	2.2365	9.7512	7.2459
Pentanoic_acid	-0.48921	0.89138	0.82203	0.69051	-0.77396	2.0483	0.71688	0.14952	1.2873	0.62484	1.4385	-0.4435	-0.17005	4.3764	2.9181	0.050629	0.89461	0.90194	1.3032	-0.77975	-0.94388	-0.54991	1.8712	0.27529	0.61747	1.0747	0.76471	3.7809	-0.11158	0.15226	-0.26417	0.46585	0.26547	-0.15756	4.5867	1.5059	1.6132	0.80167	2.7443	0.70302	0.7913	-0.20012	-0.46043	0.80193	-0.51001	1.133	0.97614	0.27421	1.3493	0.74158	1.6235	3.7755	1.5251	1.2574	0.1982	0.59934	1.1504	-0.3796	-0.24975	0.14353	0.32124	0.399	0.53734	0.72354	0.98591	0.29075	3.2823	0.30776	-0.048613	1.0399	0.42089	-0.034776	-0.3056	-0.058392	1.7775	-0.0053133	0.5424	0.10778	0.043467	0.11045	-0.18614	0.27457	1.042	4.4334	-0.41549	-0.3555	0.40379	-0.0027432	-0.33878	1.1707	3.3093	0.5264
Benzyl_alcohol	-0.37604	-0.53187	-0.47894	-0.49248	-0.066032	-0.50469	-0.40684	-0.61537	-0.79399	-0.89416	-0.86508	-0.36696	-0.80259	-0.55845	-0.72696	-0.66545	-0.80473	-0.80029	-0.3415	-0.27663	-0.28802	-0.81664	-0.48003	-0.67222	-0.59076	-0.53861	-0.6863	-0.60844	-0.29301	-0.95175	-0.11963	-0.59294	-0.62884	-0.44745	-0.62091	-0.47511	-0.57168	-0.52827	-0.77128	-0.72739	-0.60643	-0.22088	-0.41835	-0.55891	0.7908	-0.59633	-1.2275	-0.39119	-0.3624	-0.64423	-0.62529	-0.80596	-1.1608	-0.85198	-0.95784	-0.58059	-0.69139	0.89354	0.5349	-0.75614	-0.50658	-0.57787	-0.5679	-0.66379	-1.1368	-0.68302	-0.77258	-0.11918	-0.30503	-0.67937	-0.60988	-0.39824	-0.29093	-0.43612	-0.4638	-0.56542	-1.0905	-0.30716	-0.58084	-0.76974	-0.56087	-0.46435	-0.78351	-0.42305	0.19495	2.2673	1.6813	-0.71917	-0.92371	0.21323	-0.68108	-0.44862
Aspartate_semialdehyde	-0.42461	-0.50646	-0.48803	-0.45638	-0.19209	-0.70842	-0.61192	-0.51401	-0.52203	0.15975	-0.55759	-0.14699	-0.20173	-0.66723	-0.55865	-0.42774	-0.6822	-0.50301	0.023437	0.06095	-0.67081	-0.44578	-0.7238	-0.75145	-0.31528	-0.56372	-0.8712	-0.98736	-0.45932	-0.55556	-0.22488	-0.27373	-0.66681	-0.41919	-0.40055	-0.73236	-0.56521	-0.40154	-0.75747	-0.068041	-0.41829	-0.20409	-0.32962	-0.50779	0.30065	-0.59415	-0.21503	-0.0041262	-0.56447	-0.39141	-0.49233	-0.13842	-0.91922	-0.1459	0.1113	-0.51806	-0.37189	0.28066	0.0093424	-0.51926	-0.39518	-0.36396	-0.63615	-0.93646	-0.31013	-0.56615	-0.68361	-0.35555	-0.26824	-0.3146	-0.28154	-0.41436	-0.30294	-0.35285	-0.56102	-0.43161	-0.85547	-0.21924	0.0023132	-0.62775	-0.19348	-0.2919	-0.41371	-0.31731	-0.24981	0.098122	-0.40833	-0.31069	0.073432	-0.27413	-0.21593	-0.20259
Oxomalonic_acid	-0.1426	-0.41739	-0.43985	-0.45369	-0.84579	-0.44589	-0.75692	-0.4907	-0.96732	0.62484	-0.68036	-0.27191	-0.55665	-0.56144	-0.74271	-0.5104	-0.32567	-0.98302	0.55199	0.22667	0.64338	-0.093442	-0.81787	-0.91983	-0.94365	-0.61049	-0.84962	-0.27585	-0.70758	-0.60498	-0.2509	-0.21922	-0.9323	-0.5326	-0.40359	-0.85702	-0.98004	-0.56086	-0.93475	-0.78365	-0.31254	-0.0089145	-0.81464	-0.27168	0.15149	-0.83503	-0.53716	-0.32158	-0.29458	-0.49341	-0.70002	-0.87217	0.16136	-0.90939	-1.2168	-0.67132	-0.50186	-0.45167	-0.36189	-0.36297	-0.41412	-0.90625	-0.85292	-0.65951	-0.90514	-0.46695	-0.66788	-0.61685	-0.51248	-0.8228	-0.92242	-0.64002	0.24556	3.745	-0.35559	-0.37551	-0.92981	-0.26097	-0.61047	-0.7886	-1.0178	-0.66882	-0.71442	-0.90006	-0.8946	-0.50718	-0.74329	-0.76378	0.052412	0.09917	-0.19712	5.3048
"N,N-Dimethylaniline"	1.4667	-0.49994	-0.44853	-0.38449	0.24823	0.47702	-0.80392	-0.39668	-0.60675	-1.0465	0.34359	-0.33169	0.15721	-0.46143	-0.60534	-0.3948	-0.58273	0.87518	-1.3676	2.0584	3.223	2.6093	-0.054266	-0.5565	-0.47907	-0.61671	-0.44313	1.8138	-0.36219	0.047388	0.010943	-0.31498	0.17463	-0.38719	-0.39352	-0.70874	-0.69	-0.17683	-0.66143	-0.144	-0.38697	-0.2208	-0.42738	-0.66079	-0.53332	-0.54267	-0.7241	0.076889	-0.10726	0.054674	-0.25807	-0.67055	-0.002033	-1.0607	-0.85793	-0.56913	-0.6454	-0.32766	-0.27322	-0.663	-0.41495	-0.79549	-0.82687	-0.76359	-0.59753	-0.31298	-0.50968	-0.38946	-0.4902	-0.61944	-0.65627	-0.37458	-0.14703	-0.35942	-0.30414	0.53025	-0.65837	-0.24965	-0.60317	-0.3118	-0.80095	-0.63952	-0.49002	-0.72838	-0.89355	-0.46854	-0.52298	-0.77664	-0.90364	-0.95738	-0.9448	1.2614
Benzoate	-0.42461	-0.3993	-0.43166	-0.40154	-0.074713	-0.37617	-0.38509	-0.2548	-0.455	0.36996	-0.64684	-0.055897	-0.49202	-0.4654	-0.54859	-0.41244	-0.41252	-0.12609	0.55199	-0.28514	-0.93875	-0.61785	-0.44621	-0.052258	0.48944	-0.3518	-0.63041	-1.1629	-0.15938	-0.11071	0.07436	-0.33732	-0.15246	-0.40806	-0.28884	-0.33784	0.88344	-0.28998	-0.32333	0.13706	-0.37837	-0.17919	-0.25138	-0.34478	0.16208	-0.46304	-0.73764	-0.22403	-0.28012	-0.40128	-0.55582	-0.37559	-0.88405	-0.56333	-0.30083	-0.27893	-0.37345	0.4244	0.051587	-0.41482	-0.30239	-0.30195	-0.38387	-0.61737	-0.47999	-0.5466	-0.60238	-0.32957	-0.26109	-0.2353	-0.26163	-0.40922	-0.12148	-0.24911	-0.10968	-0.28895	-0.38367	-0.23032	-0.30417	-0.44558	-0.41937	-0.26382	-0.38108	-0.14282	-0.043273	0.83662	0.43601	-0.043217	0.86388	0.50202	-0.38971	-0.36809
Anisidine	-0.047249	-0.48433	-0.4568	-0.42541	-0.53836	0.39447	-0.34218	-0.33878	-0.6226	0.8845	-0.50195	-0.49202	-0.65602	-0.56987	-0.70111	-0.47663	-0.38312	0.17883	1.3032	1.249	0.83379	1.3094	-0.25047	-0.45737	-0.80888	-0.81188	-0.48702	0.90731	-0.82561	-0.30033	-0.058572	-0.050784	-1.059	-0.48169	-0.1841	-0.82921	-0.8747	-0.26264	-0.69636	-0.6789	-0.65002	-0.17697	-0.92149	-0.68617	-0.77686	-0.7519	-0.28208	-0.30114	-0.20594	-0.55493	-0.78262	-0.42575	1.3006	-1.0378	-1.5815	-0.5967	-0.14218	-0.43244	-0.31693	-0.23453	-0.34117	-0.89398	-0.5865	0.22096	-0.79374	0.082886	-0.28999	-0.59595	-0.3203	-0.91139	-1.1026	-0.39664	-0.11488	-0.41343	-0.1258	-0.42034	-0.76665	-0.25258	-0.50194	-0.21484	-0.91896	-0.71076	-0.23879	-0.90502	-0.14932	-0.47471	-0.68217	-0.94869	-0.43428	-0.61158	-0.8236	-0.78465
Pyrazinoic_acid	0.086759	0.46964	0.94268	0.049933	4.1364	1.3891	0.13018	0.20126	-0.35015	1.6432	0.41307	1.2252	1.3717	-0.20244	-0.31145	-0.094233	0.086671	-0.41931	1.3032	-0.15405	-0.25693	0.8894	-0.12398	2.178	0.21564	1.5944	1.0923	0.82826	0.12602	0.46531	-0.19038	-0.026432	-0.038233	-0.27189	0.90611	-0.032606	1.3732	0.32023	0.433	0.22606	0.088872	0.22743	0.68736	-0.0073937	-0.11764	0.054395	-0.5535	0.044511	-0.65404	0.68067	0.10095	-0.47962	0.3217	-0.19917	-0.16312	0.49109	-0.19399	-0.20862	-0.17774	-0.18156	1.6791	0.79973	-0.37629	0.0001918	1.1336	1.3897	-0.043605	-0.17433	0.43622	-0.28089	-0.70828	-0.2308	-0.28508	-0.29572	-0.57884	-0.37673	-0.1201	-0.090774	0.60258	-0.39965	-0.03487	0.43865	-0.17383	1.0705	1.6389	-0.3538	-0.0077269	2.6482	5.3802	4.9626	1.1434	0.15766
"6-Acetyl-1,2,3,4-tetrahydropyridine"	-0.4717	0.066849	-0.33975	-0.30062	-0.59615	0.51751	-0.48732	-0.40361	-0.17632	0.36996	-0.048612	-0.22329	-0.3243	-0.19871	-0.59694	-0.32478	-0.039922	-0.3986	1.3032	-0.54418	0.1308	-0.17829	-0.75739	-0.71641	-0.23829	-0.26345	-0.73461	-0.037746	-0.20244	-0.51503	-0.19519	-0.030977	-0.26865	-0.27948	-0.28589	0.23182	-0.56235	0.31125	-0.66897	-0.49045	-0.10723	-0.11832	-0.65471	-0.31486	-0.26537	-0.55172	-0.47168	-0.17308	0.030444	-0.31442	-0.49848	0.14316	-0.23804	0.16916	-0.13811	-0.28719	-0.055952	-0.057993	-0.1034	-0.22814	-0.33345	-0.15219	-0.51218	-0.56972	-0.16281	-0.56379	-0.21941	-0.4034	-0.27558	-0.29116	-0.30567	-0.3449	-0.08717	-0.016866	-0.10968	-0.17636	-0.4749	-0.16967	0.21674	-0.20528	-0.19686	-0.22344	1.067	-0.16313	-0.52588	-0.19502	-0.39121	-0.57127	0.17071	-0.36047	-0.089705	-0.37316
Pyrogallic_acid	-0.17428	-0.34344	-0.4556	-0.38897	0.44008	0.033205	0.33909	-0.39929	1.2305	0.62484	0.35378	0.049523	-0.11417	-0.43811	-0.1387	-0.32525	-0.070728	-0.1772	1.3032	-0.6376	-0.81187	-0.23107	-0.28895	0.019427	0.055609	-0.58553	0.098022	0.41581	0.73424	-0.095847	-0.2509	-0.18264	0.0081161	-0.19475	-0.3274	-0.17011	-0.15816	-0.26221	1.0394	-0.49467	0.14224	0.33382	-0.28525	-0.33222	-0.50899	0.47571	-0.21979	-0.13389	-0.21569	-0.3324	0.10046	0.25865	0.079743	0.2766	0.46346	-0.099751	0.015487	-0.24964	0.088499	0.32453	1.4962	0.89184	2.2929	1.3614	0.75102	0.92754	-0.0041385	2.3508	-0.10139	0.08146	0.27298	-0.38273	-0.13568	0.27998	0.70477	-0.073037	0.85824	0.01671	2.1325	0.90102	2.0375	0.4609	-0.27486	0.4541	0.92979	-0.35734	-0.43487	1.4869	0.022576	-0.2944	0.074185	-0.065997
5-Amino-4-imidazolecarboxyamide	-0.35609	-0.27086	-0.23689	-0.39284	-0.23047	-0.6068	-0.46381	0.24226	-0.64559	0.36996	-0.45561	0.13546	-0.094358	-0.39083	-0.47349	-0.45289	0.060612	-0.57558	0.023437	0.77626	0.75842	-0.25053	-0.35388	-0.18735	-0.49475	0.0019133	-0.56783	-0.091094	-0.17048	0.50468	0.82371	-0.34407	-0.071126	-0.46926	1.3294	0.25573	-0.39291	0.014514	0.10428	-0.29174	-0.22675	0.10519	-0.12007	-0.48611	-0.6792	-0.73853	-0.28066	-0.20386	-0.221	-0.32357	-0.3012	-0.84705	-0.083775	-0.7721	-0.55935	-0.56123	-0.623	-0.32908	-0.25722	0.034002	-0.18302	-0.63336	-0.70496	-0.12165	-0.4615	0.047216	-0.58817	-0.43229	-0.2661	-0.67361	-0.46331	-0.040441	0.75962	-0.12575	0.026363	-0.21465	-0.46149	-0.14117	-0.12966	-0.2139	-0.41546	-0.46865	-0.16274	2.5215	-0.77726	-0.43204	-0.5309	-0.33885	-0.80964	-0.68217	-0.37134	-0.28356
Pipecolate	-0.37604	-0.38358	-0.41588	-0.21188	0.14867	-0.43523	-0.66306	-0.14029	-0.15162	0.15975	-0.013395	0.060573	0.059377	-0.32966	-0.20129	-0.17348	0.45904	0.6241	-0.3415	0.63027	0.30924	0.64753	0.15026	0.099262	0.42181	-0.36535	-0.32544	0.2672	-0.22798	1.4011	-0.20214	0.40026	0.082447	-0.23745	0.13096	-0.11133	-0.12405	0.28894	0.030559	-0.046277	-0.1225	-0.15684	0.33175	-0.15885	0.23699	-0.092863	-0.22714	-0.06351	-0.52127	-0.17145	-0.21366	0.71466	1.5828	-0.42201	-0.15347	-0.20257	0.36348	0.26307	0.1915	-0.19129	-0.20328	-0.096084	0.32121	1.5427	-0.33364	-0.34558	0.22812	0.22469	-0.060191	0.10494	-0.05936	-0.17832	0.27863	-0.095397	-0.29378	-0.46832	-0.30034	-0.09395	-0.025699	-0.32988	0.028029	-0.14829	0.33606	-0.23913	0.055629	0.3864	0.15558	0.13123	0.15611	0.28521	0.18557	-0.15929
Hydroxy-valine	-0.37604	-0.53772	-0.47856	-0.43453	-0.89376	-0.078703	-0.75991	-0.65964	-1.0105	-1.1153	-1.0027	-0.54648	-0.2153	-0.66109	-0.70051	-0.64317	-0.75586	-0.72099	0.023437	0.55263	0.33952	0.43483	-0.62666	-0.59034	-0.68536	-0.69378	-0.86286	0.19836	-0.080854	-0.8991	-0.17364	-0.56084	-0.19689	-0.53168	-0.64959	-1.0806	-0.66581	-0.70201	-1.1196	-0.72388	-0.71668	-0.2267	-0.22079	-0.79544	-0.5763	-0.89061	-1.0329	-0.24257	-0.67485	-0.43445	-0.83808	-1.1644	-0.87515	-1.1681	-1.4114	-0.68216	-0.75791	-0.46105	-0.30078	-0.72118	-0.4963	-0.78987	-0.87571	-1.213	-1.1599	-0.65946	-0.95656	-0.75517	-0.49716	-1.001	-1.1183	-0.50066	0.085955	-0.36107	-0.6736	-0.36507	-0.98705	-0.31264	-0.76845	-1.0392	-0.94466	-0.76883	-0.66254	-0.98812	-0.49633	-0.55053	-0.62745	-1.0319	1.3684	1.4438	0.15784	-0.43541
3-Methoxybenzyl_alcohol	1.4849	-0.41484	-0.43616	-0.48545	0.92135	-0.93737	-0.22539	-0.23634	0.027348	-0.199	-0.12716	-0.49636	-0.20392	-0.22888	-0.18458	-0.62887	0.13786	0.2972	-0.64422	0.013825	-0.024769	-0.17829	0.047632	1.4031	0.294	-0.3139	-0.33158	-0.6954	-0.0036345	4.9874	10.537	-0.41272	0.30672	-0.023324	-0.59315	-0.14958	1.6964	0.34563	1.5612	0.61769	0.85951	-0.2134	0.57863	0.13212	-0.45251	1.0857	-0.00096713	-0.22279	-0.47431	-0.15419	3.7694	1.1063	0.87288	1.0258	1.6	0.87142	-0.11001	-0.24069	-0.18668	-0.16982	-0.11256	-0.38323	0.27198	0.048395	-0.28406	-0.33152	0.74139	0.038386	-0.39821	0.5647	0.37641	0.43996	0.77084	-0.032755	0.4215	-0.14165	0.61436	-0.15531	-0.43557	0.21686	-0.33989	1.5235	-0.53142	0.48881	-0.31489	-0.42903	-0.47654	-0.70862	-0.5019	-0.31602	0.016635	0.9513
Gabaculine	-0.21573	-0.50269	-0.47369	-0.42494	-0.29515	-0.47666	-0.44369	-0.56361	-0.39482	-0.72022	-0.50522	-0.51233	-0.43725	-0.6521	-0.63933	-0.48125	-0.56575	-0.36069	0.023437	0.59671	-0.53224	0.056017	-0.69042	-0.70097	-0.61639	-0.54365	-0.8289	-0.69331	-0.33817	-0.57444	-0.18221	-0.16653	-0.74834	-0.39192	-0.51879	-0.72965	-0.71269	-0.67551	-0.84811	-0.17366	-0.41551	-0.18722	-0.051918	-0.58621	-0.58087	-0.48266	-0.17618	0.0062779	-0.14443	-0.3675	-0.57558	-0.28907	-0.68194	-0.57954	-0.41551	-0.53973	-0.35853	-0.40531	-0.32127	-0.55055	-0.49946	-0.76042	-0.76357	-1.0131	-0.24987	-0.54417	-0.71585	-0.56561	-0.30095	-0.35584	-0.35377	-0.4413	-0.346	-0.30984	-0.47166	-0.15736	-0.81181	-0.18351	-0.23717	-0.55363	-0.44954	-0.5192	-0.48084	-0.65788	-0.3026	-0.50929	-0.65467	-0.37533	-0.39327	-0.62947	-0.30331	-0.47522
Tropinone	-0.2497	0.96097	0.13812	0.14362	0.4122	-0.58239	0.12203	1.3663	0.9167	-0.028255	0.58829	-0.31274	-0.14694	0.3972	0.5488	1.9375	1.6842	0.51655	0.55199	-0.37826	-1.2785	-0.89659	0.21784	2.1933	0.074934	-0.23129	0.95984	-1.0818	-0.26311	0.20993	-0.2152	0.19017	1.0583	0.49452	0.19683	-0.017528	1.5015	0.082678	1.8179	0.4663	0.34213	-0.14518	-0.34441	0.70613	-0.41429	1.148	0.84398	-0.14256	-0.44585	1.0203	0.30192	0.57718	-0.78274	1.3543	0.78491	0.61109	0.13172	-0.25855	-0.048003	0.38102	-0.0046163	0.98423	1.1544	0.25208	1.7718	2.1403	1.5737	0.2382	0.56774	1.1759	0.97225	0.48897	-0.27381	-0.17275	-0.48752	-0.37717	6.1557	0.22279	0.41476	-0.25078	0.31279	10.85	0.38233	0.74575	-0.32544	-0.15016	0.55424	2.7132	0.32889	0.14938	0.4956	0.59935
2-Methoxybenzenethiol	-0.23277	-0.55385	-0.49818	-0.4448	-0.21118	-0.36131	-0.8802	-0.63723	-0.85651	-0.89416	-0.71857	0.15121	-0.36727	-0.63254	-0.60351	-0.63829	-0.80634	-0.37517	-1.2288	-0.23602	-0.30035	0.15728	-0.090761	-0.93654	-0.84066	-0.25684	-0.89616	-0.51983	0.31961	-0.58813	-0.19075	-0.37125	0.19274	-0.42829	-0.66467	-0.70234	-0.86894	-0.62742	-0.76551	-0.84725	-0.28297	-0.06217	0.29508	-0.65504	2.5924	-0.60505	-1.21	-0.21784	-0.66944	-0.58354	-0.15474	-0.11946	-0.76083	-0.97384	-0.61929	-0.48433	0.65938	1.7177	0.91649	-0.44886	-0.52352	-0.62795	-0.22545	-0.12684	-1.2573	-0.64423	-0.56668	0.17981	-0.38869	-0.64062	-0.24513	-0.50502	0.40803	-0.24029	-0.37084	-0.51207	-0.62041	-0.19549	-0.5058	-0.34663	0.14699	-0.60295	-0.46333	-0.55693	1.0253	3.9734	2.8124	-0.70965	-0.68034	2.9183	0.85988	0.089118
Carbamoyl_phosphate	1.1156	-0.44593	-0.47457	-0.45934	-0.70981	-0.091932	-0.37468	-0.17899	-0.72766	-0.028255	-0.42274	-0.21469	-0.074091	-0.58458	-0.60135	-0.52794	-0.15047	-0.75925	0.023437	0.62354	1.8967	1.0186	-0.49279	4.2245	-0.94106	0.12018	-0.43256	0.82826	-0.15595	1.3567	3.311	-0.44714	-0.57242	-0.42749	-0.12137	-0.2965	-0.65515	-0.41133	-0.12756	-0.55875	-0.35587	0.013613	-0.60816	-0.52034	-0.65244	-0.62844	-0.39466	-0.11928	-0.51543	-0.48426	-0.522	-0.83467	-0.56164	-0.26259	-1.0461	-0.53806	-0.59696	-0.4119	-0.35852	0.26594	-0.097471	-0.62496	-0.65156	-0.71513	-0.79859	-0.49492	-0.81714	-0.74574	-0.40252	-0.93864	-1.032	-0.46403	-0.17009	-0.25015	-0.36324	-0.50357	-0.31321	-0.19108	-0.23645	-0.2158	-0.33785	-0.39221	3.2303	1.8002	-0.71009	-0.40555	-0.73442	-0.63361	-0.56482	-0.54015	-0.71493	-0.27013
5-Hydroxymethyl-2-furanoate;_Ethanolamine_phosphate	0.5612	-0.30602	-0.39768	-0.22299	-0.2934	-0.084038	-0.36203	-0.33773	-0.55937	-0.199	-0.13559	-0.35958	-0.11179	-0.19607	-0.39235	-0.10368	-0.19295	-0.29154	0.023437	0.44289	0.76049	0.4693	-0.39379	-0.24312	-0.0050797	-0.32892	-0.15035	0.85922	-0.43033	-0.29748	-0.21877	0.23166	-0.39099	-0.25627	-0.23114	-0.40663	-0.5963	-0.25484	-0.34979	-0.094272	-0.1153	-0.20584	-0.38535	-0.45683	-0.38932	-0.50947	0.14578	0.058321	0.4403	-0.42454	-0.26976	-0.016824	1.322	-0.23368	-0.66739	-0.43139	-0.17511	-0.32853	-0.23245	-0.43773	-0.070762	-0.29227	-0.45033	0.65822	-0.076566	-0.12498	-0.33702	-0.4173	-0.35491	-0.46478	-0.46633	-0.60232	0.041528	-0.31152	-0.016259	-0.15028	-0.034218	-0.23902	-0.38719	-0.058732	-0.55588	-0.45366	-0.15523	-0.25474	-0.45399	-0.44428	-0.22528	-0.65502	-0.70114	-0.89587	-0.57002	-0.58224
