	Location
G12Plate.2	Ileostoma
D2Plate.2	Ileostoma
H1Plate.2	Ileostoma
B11Plate.2	Ileostoma
A10Plate.1	Ileostoma
H2Plate.2	Ileostoma
D4Plate.2	Ileostoma
B8Plate.2	Ileostoma
B7Plate.2	Ileostoma
E9Plate.2	Ileostoma
A12Plate.2	Ileostoma
E10Plate.2	Ileostoma
C3Plate.3	Ileostoma
F7Plate.2	Ileostoma
G10Plate.2	Ileostoma
H3Plate.2	Ileostoma
G11Plate.2	Ileostoma
B9Plate.2	Ileostoma
G6Plate.3	Ileostoma
F1Plate.3	Ileostoma
G8Plate.3	Ileostoma
C1Plate.3	Ileostoma
A5Plate.3	Ileostoma
G7Plate.3	Ileostoma
G5Plate.3	Ileostoma
F3Plate.3	Ileostoma
E1Plate.3	Ileostoma
F8Plate.3	Ileostoma
F4Plate.3	Ileostoma
F2Plate.3	Ileostoma
D5Plate.4	Ileostoma
F11Plate.3	Ileostoma
E2Plate.3	Ileostoma
F9Plate.3	Ileostoma
E10Plate.3	Ileostoma
B1Plate.3	Ileostoma
E4Plate.4	Ileostoma
D9Plate.4	Ileostoma
A7Plate.4	Ileostoma
H6Plate.4	Ileostoma
B7Plate.7	Ileostoma
B5Plate.4	Ileostoma
B7Plate.4	Ileostoma
B4Plate.4	Ileostoma
H5Plate.4	Ileostoma
B3Plate.4	Ileostoma
D11Plate.4	Ileostoma
E1Plate.4	Ileostoma
A8Plate.4	Ileostoma
G1Plate.4	Ileostoma
A2Plate.7	Ileostoma
B2Plate.7	Ileostoma
E2Plate.1	Ileostoma
A4Plate.7	Ileostoma
B3Plate.7	Ileostoma
F1Plate.1	Ileostoma
F2Plate.1	Ileostoma
F12Plate.1	Ileostoma
G1Plate.1	Ileostoma
B1Plate.2	Ileostoma
A7Plate.1	Ileostoma
B12Plate.2	Ileostoma
F1Plate.2	Ileostoma
B10Plate.2	Ileostoma
D1Plate.2	Ileostoma
C6Plate.4	Colostoma_Right
C7Plate.4	Colostoma_Right
G5Plate.2	Colostoma_Right
E6Plate.3	Colostoma_Right
A8Plate.2	Colostoma_Right
G4Plate.2	Colostoma_Right
C2Plate.2	Colostoma_Right
C1Plate.2	Colostoma_Right
A9Plate.2	Colostoma_Right
D11Plate.2	Colostoma_Right
H7Plate.2	Colostoma_Right
D11Plate.3	Colostoma_Right
D12Plate.4	Colostoma_Right
D8Plate.1	Colostoma_Right
A11Plate.7	Colostoma_Right
B12Plate.7	Colostoma_Right
A5Plate.1	Colostoma_Right
H8Plate.2	Colostoma_Right
F10Plate.2	Colostoma_Left
A9Plate.4	Colostoma_Left
F6Plate.4	Colostoma_Left
C7Plate.7	Colostoma_Left
C4Plate.1	Colostoma_Left
A10Plate.4	Colostoma_Left
D9Plate.1	Colostoma_Left
F2Plate.2	Colostoma_Left
A8Plate.1	Colostoma_Left
