	Class
Benzoate	Benzene_and_substituted_derivatives
Anisidine	Benzene_and_substituted_derivatives
Pyrogallic_acid	Benzene_and_substituted_derivatives
2-Methoxybenzenethiol	Benzene_and_substituted_derivatives
Gallic_acid;_Benzyl_methyl_disulfide	Benzene_and_substituted_derivatives
Topaquinone	Benzene_and_substituted_derivatives
{[(2E)-3-phenylprop-2-en-1-yl]oxy}sulfonic_acid	Benzene_and_substituted_derivatives
Sulfacetamide	Benzene_and_substituted_derivatives
"2-{[(3,5-dimethoxyphenyl)(hydroxy)methylidene]amino}acetic_acid"	Benzene_and_substituted_derivatives
4-phenylbutanic_acid-O-sulphate	Benzene_and_substituted_derivatives
"3,5-dihydroxy-4-(sulfooxy)benzoic_acid"	Benzene_and_substituted_derivatives
"1-(2,4,6-Trimethoxyphenyl)-1,3-butanedione"	Benzene_and_substituted_derivatives
Sulfisoxazole	Benzene_and_substituted_derivatives
"2-{[hydroxy(2,3,4-trimethoxyphenyl)methylidene]amino}acetic_acid"	Benzene_and_substituted_derivatives
Mebendazole	Benzene_and_substituted_derivatives
Cinalukast	Benzene_and_substituted_derivatives
Benzyl_alcohol	Benzenoids
"N,N-Dimethylaniline"	Benzenoids
3-Methoxybenzyl_alcohol	Benzenoids
2-Naphthol	Benzenoids
Hydroxytyrosol	Benzenoids
2-Methoxynaphthalene	Benzenoids
"2,2,7,7-Tetramethyl-1,6-dioxaspiro[4.4]nona-3,8-diene"	Benzenoids
Kynurenic_acid	Benzenoids
7-Methoxy-6-methyl-2H-1-benzopyran-2-one	Benzenoids
Salicyluric_acid	Benzenoids
N-(4-hydroxyphenyl)ethoxycarbothioamide	Benzenoids
Vanillylmandelic_acid	Benzenoids
Chlorphenesin	Benzenoids
(2-Naphthalenyloxy)acetic_acid	Benzenoids
Hydroxyphenylacetylglycine	Benzenoids
Methoxamine	Benzenoids
Vanillactic_acid	Benzenoids
Rishitin	Benzenoids
Ethyl_vanillin_isobutyrate	Benzenoids
"(±)-2-(1-Methylpropyl)-4,6-dinitrophenol"	Benzenoids
Dehydroisochalciporone	Benzenoids
threo-Syringoylglycerol	Benzenoids
Dezocine	Benzenoids
1-Hydroxy-6-methoxypyrene	Benzenoids
Sulfapyridine	Benzenoids
Benzo[a]pyrene	Benzenoids
Verapamil__metabolite_D-617	Benzenoids
(S)-[8]-Gingerol	Benzenoids
3-cis-Hydroxyglipizide	Benzenoids
Pentanoic_acid	Carboxylic_acids_and_derivatives
Hydroxy-valine	Carboxylic_acids_and_derivatives
L-2-Amino-4-methylenepentanedioic_acid	Carboxylic_acids_and_derivatives
Methyl-His	Carboxylic_acids_and_derivatives
Calystegin_B2	Carboxylic_acids_and_derivatives
N-Methylcalystegine_B2	Carboxylic_acids_and_derivatives
N-acetyl-L-2-aminoadipate(2-)	Carboxylic_acids_and_derivatives
