	E11Plate.2	E7Plate.2	E12Plate.2	B1Plate.1	A7Plate.2	B3Plate.1	E2Plate.2	A11Plate.3	B5Plate.1	B6Plate.1	B7Plate.1	A1Plate.1	C2Plate.3	B8Plate.1	A12Plate.3	A3Plate.3	F1Plate.4	A5Plate.4	C2Plate.1	A3Plate.7	F2Plate.4	C5Plate.4	C9Plate.4	C6Plate.1	H8Plate.4	F5Plate.4	D4Plate.7	E3Plate.4	D2Plate.7	A4Plate.4	D3Plate.1	A10Plate.7	A9Plate.7	D3Plate.7	D12Plate.1	C6Plate.7	E1Plate.1	C5Plate.7	C3Plate.7	E7Plate.1	E8Plate.1	E12Plate.1	G2Plate.1	D3Plate.2	E8Plate.2	F4Plate.2	G3Plate.2	A5Plate.2	A6Plate.2	B4Plate.1	C7Plate.3	B11Plate.3	B10Plate.3	C6Plate.3	D9Plate.3	G9Plate.3	E9Plate.3	G10Plate.3	D10Plate.3	A2Plate.4	C7Plate.1	A1Plate.4	A3Plate.4	E11Plate.1	H11Plate.2	F3Plate.2	G12Plate.4	A4Plate.1	C5Plate.2	B6Plate.2	H12Plate.2	G2Plate.2	F11Plate.2	B2Plate.1	G7Plate.2	C11Plate.2	C12Plate.3	D5Plate.3	B2Plate.3	A10Plate.3	D4Plate.3	F6Plate.3	F7Plate.3	D10Plate.4	D2Plate.3	D3Plate.3	E3Plate.3	A2Plate.3	D6Plate.4	E7Plate.3	E8Plate.3	D1Plate.3	B12Plate.1	F9Plate.4	C1Plate.1	D7Plate.4	H12Plate.4	E8Plate.4	B12Plate.4	G2Plate.4	C10Plate.7	C3Plate.1	H11Plate.4	B11Plate.4	H4Plate.4	D2Plate.4	F7Plate.4	B9Plate.7	G11Plate.4	D8Plate.4	F8Plate.4	F10Plate.4	C4Plate.7	G6Plate.4	E2Plate.4	H9Plate.4	E9Plate.4	E10Plate.4	C8Plate.1	D3Plate.4	C2Plate.7	C10Plate.1	D2Plate.1	A3Plate.1	B8Plate.7	C9Plate.7	C8Plate.7	A1Plate.7	E3Plate.1	A6Plate.7	E4Plate.1	B5Plate.7	F3Plate.1	F6Plate.1	F7Plate.1	A6Plate.1	F10Plate.1	F11Plate.1	G6Plate.2	F12Plate.2	C6Plate.2	A9Plate.1
C6:2	-0.325	-0.23016	0.28198	-0.26141	1.5179	-0.29466	1.0087	0.45964	0.45964	-0.84253	-0.65725	-0.41242	-0.51673	-1.4353	-0.3426	-0.81354	-0.026144	-1.2105	0.19372	-0.085599	2.0051	-0.16491	-0.55988	0.41902	-0.21957	2.2341	0.18909	-0.24206	-0.58088	-0.53062	-0.28488	-0.14191	0.81801	-0.27571	0.099896	0.28198	-0.33153	-1.1921	-0.11635	-0.78155	-0.89011	-0.92001	-0.97468	-0.72194	-0.87491	-0.30183	-0.38179	-0.80861	-1.0877	-0.99607	0.12287	-0.19051	-0.32892	1.1464	0.22649	-0.32631	-0.11987	-0.79398	-0.71203	0.60125	0.044883	-0.9066	0.054754	-0.10447	0.55479	-0.69696	-0.72117	-0.57199	-0.4038	2.4455	-0.080148	-0.3637	-0.40503	-0.31832	-1.0691	1.4921	4.0091	0.5714	4.8428	2.1424	-0.25407	-0.50706	-0.45688	-1.1036	0.25036	0.10194	-0.87942	-0.6079	1.6987	0.072796	-0.36762	0.76898	-0.72278	-0.85438	-0.55879	1.6987	0.43333	-1.3742	-0.022507	0.095767	0.3419	-0.074507	1.3605	1.8847	-0.29917	-1.0544	0.16432	-0.36239	0.5449	-0.32362	2.5872	2.5306	-0.61572	-0.4002	-0.29039	-0.88949	-0.78384	-0.63275	0.13186	-0.77708	-0.37152	0.73538	0.99974	-0.36889	1.1833	-0.65177	0.70912	0.15345	-0.38896	-0.8998	-0.18401	-0.50148	0.072796	-0.11635	-0.44023	-0.81644	0.9635	1.0452	0.26502	0.84251	-0.53572	0.050721
2-Furanmethanethiol	-0.099188	-0.64432	-0.4499	1.1265	0.18087	-0.34333	-0.44799	0.31233	-0.53173	-0.19813	-0.75311	0.013189	0.27673	-0.66942	-0.25449	-0.15261	-0.12705	0.37784	-0.58379	-0.32244	0.33602	-0.34814	0.24373	-0.17405	-0.32021	-0.1765	0.53936	0.0077062	-0.026702	-0.21386	-0.65812	-0.64949	-0.46528	-0.56424	-0.47075	-0.49248	-0.53519	0.53046	1.5223	-0.49537	-0.61456	-0.36663	0.21051	-0.11894	-0.41788	-0.28864	-0.011542	-0.12599	-0.45223	0.27616	-0.075108	-0.40421	-0.40315	-0.45367	0.045025	0.25439	-0.21401	-0.46043	0.4794	-0.26073	-0.072902	-0.42949	-0.62094	-0.756	0.69486	-0.096631	0.012421	0.18176	-0.12607	0.27444	-0.57868	-0.53073	-0.68278	2.5583	-0.57766	0.2877	0.83343	-0.56608	5.4186	1.3613	0.90299	-0.48798	-0.67849	-0.52438	-0.20635	-0.44421	-0.46343	0.25717	0.435	0.14238	-0.14523	-0.57741	-0.2431	-0.67257	-0.5616	-0.33577	-0.54197	0.78664	-0.020063	0.0609	-0.24019	0.53627	0.33587	-0.2935	-0.27015	-0.45575	-0.19693	0.76351	0.33056	-0.26912	6.6469	7.6402	4.7826	0.994	0.017508	-0.32211	-0.2047	-0.17583	-0.18896	0.16317	-0.55717	-0.37293	-0.16121	-0.44513	-0.63643	0.22993	-0.62237	-0.34638	-0.02087	0.44581	0.92878	0.40235	0.30653	-0.047503	0.0010103	-0.3226	1.8044	1.7083	0.52162	-0.20149	-0.51721	-0.46209
"6-Acetyl-1,2,3,4-tetrahydropyridine"	0.4336	-0.39073	-0.75288	-0.66065	-0.72424	-1.098	0.66179	0.21192	-1.0903	-1.1484	-0.51991	-0.88343	-0.1976	-1.0729	1.8632	-0.73525	-0.472	-0.3595	-0.53854	-0.053749	-0.31532	1.266	0.24571	-0.41905	-0.5779	-0.50949	0.047705	0.24016	-0.42227	1.2285	-0.6409	-0.81356	-0.34217	-0.60676	0.14765	-0.66404	-0.5639	-0.37439	-0.52826	-0.29837	-0.42499	-0.74123	-0.7397	1.8892	-0.90109	-0.23383	-0.85893	-0.68795	-0.93463	0.63005	0.37461	-0.42039	-0.5823	-0.71666	-0.08556	-0.49177	1.1195	1.1863	2.0726	-0.71012	1.4293	0.94134	-0.19935	0.29403	-0.80979	-0.79535	0.66582	-0.61728	0.59229	-0.83504	-0.60197	-0.29218	0.23279	-0.32775	-0.32575	-0.70477	-0.42318	1.8578	-0.46759	0.54806	-0.209	-0.37304	0.66886	-0.95037	-0.2419	-1.214	-0.99523	-0.54585	-0.32162	0.69527	3.1902	-0.088639	0.36523	-0.73043	1.2312	-0.36778	-0.80375	-0.76089	-0.086224	-0.047974	-0.75623	1.3293	-0.74376	-0.65931	0.81007	-0.41719	0.46301	-0.50027	-1.2498	2.2869	-0.47508	-0.56863	0.13871	0.20096	0.23048	4.5662	3.2696	1.1428	3.2246	-0.14625	0.032299	-1.0689	-0.104	-0.95695	-0.47246	5.9903	-0.63388	-0.479	1.0286	0.0022709	0.24571	0.013448	0.33357	0.12635	0.050486	1.1573	-0.31532	-0.31383	-0.73815	-0.40031	-0.80813	-0.55364
Coumarin	-0.67942	-0.83201	-0.65399	-0.33406	1.019	0.38618	0.15	-0.15014	0.82086	0.77404	-1.0962	-0.18412	-0.23921	-0.68513	1.2633	-0.29006	-1.4613	-0.56084	-0.78164	-0.20287	0.95918	-0.22315	-0.11526	0.33022	-0.57466	2.9867	0.37201	-0.035107	-0.20287	0.46414	-0.18772	0.7104	0.39603	-0.65848	-0.88477	0.92477	-1.3552	-1.1676	-0.87985	-1.0531	-1.209	-1.0242	-0.23349	-0.37165	-0.76935	0.23514	4.0738	-0.057886	0.29589	-0.10833	0.19586	-1.2075	-1.0138	-0.019267	0.14773	-0.79435	0.24885	-0.50745	0.40151	2.0177	-0.22205	-1.0769	-1.022	-0.63838	-0.75	0.096642	-0.60339	0.0406	-0.90836	1.5557	-0.47337	-0.48365	-0.80838	0.76321	-0.72468	1.0649	1.6232	-0.82706	2.2078	0.37989	0.49404	0.025202	-0.67062	-0.76998	0.034443	0.74132	-0.89451	-0.46707	1.2552	0.81293	-0.80838	-0.4806	-0.57466	-0.68233	-0.30022	0.23673	1.4766	-1.0321	-0.055874	-0.16944	-0.032444	1.4584	0.81406	0.51145	-0.23747	-0.48548	0.40151	0.912	1.0524	-0.10711	1.3506	1.4435	-0.26025	0.59443	-0.59945	-0.5132	-0.14705	0.76547	0.28343	-0.78789	-1.1384	0.35547	0.17462	0.19976	0.61088	-0.97834	0.16922	0.063019	-0.57664	-1.0576	0.64223	1.2485	0.70079	1.5462	1.4016	0.07329	0.88287	0.62381	-0.49302	-0.21398	-0.73007	0.92005
2-Methoxynaphthalene	-0.56561	-0.9078	-0.66334	0.035166	-0.51269	-0.59055	-0.088053	-0.35781	-0.72265	-1.0062	-0.41679	-0.42743	0.36965	-0.73832	0.188	-0.97318	-0.2769	-0.6391	0.157	-0.23087	-0.060041	1.2581	0.20057	-0.21129	-0.098481	-0.27107	1.5239	0.012817	0.34369	0.94815	-0.35052	-0.71958	-0.18535	-0.54963	-0.29777	-0.29315	-0.060647	0.0060794	0.61016	-0.55518	-0.48543	-0.86148	-0.25182	0.1074	-0.69395	-0.28094	0.04086	-0.6661	-0.47929	-0.1166	-0.40856	-0.85341	-0.2491	-0.66184	-0.29901	-0.49122	2.3646	-0.029778	-0.17708	-0.79689	0.89128	-0.015166	-0.58398	-0.87309	-0.77435	-0.68235	-0.45654	-0.28228	-0.68622	-0.63112	-0.013345	-0.53017	-0.0068393	0.30995	-0.08333	-0.52062	1.1207	0.61509	-0.42637	1.2196	0.51553	0.077839	-0.20502	-0.48472	0.19986	-0.60603	-0.21129	-0.36299	-0.36924	0.93626	0.50121	-0.15791	-0.24217	-0.42412	-0.10373	0.65459	-0.85461	-0.88184	-0.438	-0.038245	-0.82995	0.84532	-0.28845	-0.60059	-0.22483	3.9325	2.1143	0.084205	-0.31451	0.90786	-0.18786	-0.44995	1.4412	0.83511	0.012192	-0.087583	-0.080039	1.3513	5.8915	-0.73874	-0.89331	-0.90947	2.0743	-0.72808	0.17338	0.75235	-0.11342	-0.46674	-0.15224	0.22183	-0.44919	0.09055	3.4399	5.4916	6.4361	0.30995	0.098949	0.62775	-0.70477	0.41029	-1.0757	0.37677
3-Methyldioxyindole	0.007904	-0.37903	-0.39634	-0.14879	-0.37792	-0.39777	0.12999	0.50397	-0.36319	-0.61427	-0.089215	-0.32568	-0.42441	-0.51897	-0.30384	-0.56902	-0.46223	-0.33604	-0.54165	-0.29447	-0.071882	-0.36155	0.12019	-0.23734	0.24121	-0.28775	0.078172	-0.26785	-0.078829	-0.3376	-0.47018	-0.56204	-0.23664	-0.22083	-0.51652	-0.40456	-0.44977	0.6609	-0.071318	-0.14833	-0.22676	-0.4114	-0.2293	0.15207	-0.41469	-0.38566	-0.35811	-0.35737	0.19936	-0.022186	0.16815	-0.57202	0.28841	-0.54736	-0.34842	-0.60552	-0.062065	-0.21194	-0.32184	-0.44036	0.018419	-0.33393	-0.50817	-0.48944	-0.37414	-0.43796	-0.2308	-0.16707	-0.42514	-0.3047	0.76331	7.2325	5.0357	0.2594	-0.24816	-0.26115	-0.34945	-0.39967	-0.42851	-0.30925	-0.29505	0.55456	-0.55063	-0.65716	-0.21231	-0.46303	-0.61798	0.38327	-0.26385	-0.38303	-0.4005	0.94173	-0.31857	-0.41433	-0.31357	-0.35639	-0.466	-0.39882	-0.39903	0.2108	-0.34695	-0.054441	-0.10032	-0.11434	-0.17486	0.67749	-0.32049	2.5002	-0.53176	-0.30043	-0.18377	-0.25264	0.79211	2.2667	-0.42215	-0.30755	-0.3477	-0.1343	1.4328	-0.30412	-0.4728	-0.33527	-0.25028	-0.42759	-0.2319	-0.090277	-0.54064	-0.32704	-0.070166	1.1275	-0.15203	3.8666	0.67749	0.049838	0.37734	0.48603	2.3796	3.4049	-0.44827	-0.2908	-0.54283	0.37888
(R)-2-Methylimino-1-phenylpropan-1-ol	-0.15023	-0.59889	-0.67952	-0.12092	0.0055529	-0.60807	0.53774	-0.25361	-0.32745	-0.89464	-0.67187	-0.33436	-0.22219	-0.76862	1.3293	-0.61274	-0.51423	-0.60626	-0.67714	-0.24353	0.5954	-0.0674	0.24314	-0.065118	-0.40755	0.94394	1.1639	1.0032	0.76052	0.15559	-0.64004	-0.66878	-0.41665	-0.37576	-0.30485	-0.77229	-0.43289	0.20334	0.81808	-0.75466	-0.7765	-0.74249	-0.38282	0.42083	-0.48236	0.69234	-0.51764	-0.55571	0.34538	-0.12277	-0.50944	-0.6571	-0.6391	-0.76472	-0.35064	-0.82007	0.87275	-0.056634	1.1235	-0.50247	1.4106	-0.33296	-0.56415	-0.68476	0.017529	-0.59652	-0.23585	0.2009	-0.26772	-0.052044	-0.61191	-0.020293	-0.065753	0.87151	0.28312	0.17013	-0.20262	0.030626	0.80436	0.55035	-0.04137	-0.65074	0.20372	-0.23662	-0.081961	-0.84091	-0.84712	-0.60766	-0.07145	0.88368	-0.131	-0.57866	0.25704	-0.63961	-0.15968	-0.37081	-0.78809	-0.68006	-0.52737	-0.22717	-0.61909	1.3607	0.56904	-0.46885	0.40507	0.29317	0.21129	0.68227	1.1527	0.090436	0.56257	0.39572	0.91565	1.3316	-0.063341	0.2397	0.087496	1.362	1.5718	-0.53753	-0.72309	-0.5632	-0.067782	-0.5582	-0.76058	0.74653	-0.94725	-0.71148	0.10899	0.52803	-0.2198	10.348	0.80278	0.93087	1.4255	-0.15335	0.43682	0.3078	-0.25589	-0.27205	-0.81416	0.021112
4-Methoxycinnamic_acid	-0.59747	-0.075728	-0.40205	-0.17951	1.1635	0.028788	-0.12742	0.38848	1.2355	0.97865	-0.89283	-0.14553	-0.022074	-1.1024	6.8967	-0.75107	-1.1963	-1.4067	-0.34419	-0.0068311	0.58628	-0.21319	-0.029774	0.39782	-0.69295	0.14899	0.35898	0.26404	0.060983	1.0954	-0.39526	0.072234	0.55379	-0.38938	-0.71053	-0.024716	-0.93028	-0.25433	0.94267	-0.94336	-0.93533	-1.0195	0.088139	-0.27343	-0.57286	-0.26486	1.4139	-0.54584	-1.1211	-0.57616	0.051608	-0.98954	-0.88	0.2608	-0.21319	-0.11584	1.8291	-0.78008	-0.1423	0.15199	-0.28573	-1.1005	-0.84862	-0.50769	0.34381	-0.73354	-0.7897	-0.1252	-0.77906	0.91048	0.32408	-0.74194	-0.65807	0.35535	-0.70391	1.1529	2.3558	-0.015879	1.8565	0.95781	0.49229	-0.20167	-0.39105	-1.2623	0.16368	-0.31386	-0.84376	0.12931	1.2923	1.9231	0.28669	-0.011998	-0.79416	-1.1694	-1.0189	0.1949	-0.017137	-1.3259	-0.13532	-0.17207	0.30969	1.0041	0.83195	0.49432	-0.30345	-0.19312	1.3891	0.94267	-0.92291	-0.020801	1.5467	1.5827	-0.011998	0.43088	-0.79652	-0.88374	-0.65067	0.26404	0.055762	-0.98367	-0.97699	1.6883	-0.099417	-0.31294	0.38101	0.66716	0.44902	0.062222	-0.57023	-0.28014	-0.063945	-0.5341	0.8294	2.3409	4.7616	-0.44406	0.48373	0.37928	-0.058952	0.81359	-0.76833	0.20164
4-Hydroxyphenylpyruvic_acid	-0.55381	-0.55366	0.057203	-0.55005	2.3046	0.14603	0.30373	-0.34462	0.031509	0.75318	-0.58656	-0.53812	-0.33752	-0.43146	-0.46017	-0.51991	-0.60531	-0.60983	-0.47504	0.067456	1.1067	-0.41151	-0.49904	1.1515	-0.38193	2.5691	-0.42378	-0.4455	-0.54416	-0.4455	0.45479	-0.47975	-0.3559	-0.23679	-0.55073	-0.38583	-0.50349	-0.46268	0.031509	-0.43384	-0.37085	-0.40409	-0.33401	-0.47975	-0.19524	0.057203	0.067456	-0.13643	-0.5027	-0.46206	-0.41048	-0.48598	-0.41151	0.50206	-0.44025	-0.40845	-0.52705	-0.54589	-0.44025	1.307	-0.59088	-0.58537	-0.51665	-0.52389	-0.37085	-0.34638	-0.43228	-0.32671	-0.53941	3.6037	-0.18353	-0.44404	-0.51665	-0.13152	-0.57112	1.9218	1.5854	-0.3559	2.7396	0.14603	-0.14095	-0.12172	-0.38583	-0.59483	0.63177	-0.14556	-0.40845	-0.31564	0.27267	1.1515	-0.47608	0.43316	-0.58421	-0.32297	-0.40512	1.2033	1.2033	-0.54125	-0.17158	-0.22031	0.37254	-0.54799	1.9218	1.5296	-0.17604	-0.61008	-0.45419	-0.18353	-0.32671	-0.52932	0.97595	2.7396	-0.49368	-0.45281	-0.41633	-0.59533	-0.56721	-0.51437	-0.60022	-0.46878	-0.57486	0.41254	-0.33235	-0.023103	-0.32114	-0.46635	-0.31361	-0.34638	-0.49242	-0.43545	0.28911	-0.4682	-0.5436	-0.17158	-0.5581	-0.57383	0.63177	0.66158	-0.23972	0.35465	-0.5849	-0.08455
2-Methyl-3-hydroxy-5-formylpyridine-4-carboxylate	-0.063188	1.6804	-0.48811	-0.40496	-0.16845	-0.388	-0.27785	0.065696	-0.52189	-0.71246	-0.39267	-0.091979	0.78147	-0.61628	1.6029	-0.63544	-0.85031	-0.63189	-0.67297	-0.68512	-0.11609	-0.45446	0.24838	-0.078254	0.67594	-0.41958	-0.39456	-0.0032824	-0.329	0.48478	-0.52948	-0.38382	-0.32069	-0.42136	-0.62101	-0.35369	-0.73756	0.25408	2.2817	-0.51373	-0.60907	-0.53341	-0.62283	-0.60117	-0.41562	-0.48642	-0.70576	-0.097503	-0.73298	-0.68206	0.13986	-0.70913	-0.70861	-0.1901	-0.57298	-0.7709	0.10721	-0.62449	-0.59868	0.95514	-0.090494	-0.73641	-0.24514	5.6483	-0.57792	-0.47824	-0.38018	0.68661	-0.12338	-0.29157	-0.054822	-0.55949	-0.52909	2.271	-0.51543	-0.27163	-0.21027	-0.4641	-0.18329	0.42359	1.5361	1.9181	-0.66877	-0.79973	-0.46085	-0.63637	-0.62547	-0.73984	-0.33556	2.2277	1.0434	-0.21619	0.79701	-0.41389	-0.6147	-0.59649	0.95143	-0.79842	-0.7489	-0.6878	-0.66489	0.39809	-0.024092	-0.41534	0.32145	0.4615	0.90123	0.8906	-0.7293	-0.40126	-0.30468	-0.3051	0.70007	0.51771	-0.63991	0.93258	1.7867	1.4011	5.8945	-0.63701	-0.073761	2.4482	-0.35991	0.62942	-0.22044	-0.31948	-0.27521	-0.35079	-0.036987	-0.4022	0.13082	0.71888	-0.28192	0.27388	0.7642	-0.22207	-0.41506	-0.37435	-0.55341	0.09481	-0.31672	-0.30987
