	Location
E11Plate.2	Ileostoma
E7Plate.2	Ileostoma
E12Plate.2	Ileostoma
B1Plate.1	Ileostoma
A7Plate.2	Ileostoma
B3Plate.1	Ileostoma
E2Plate.2	Ileostoma
A11Plate.3	Ileostoma
B5Plate.1	Ileostoma
B6Plate.1	Ileostoma
B7Plate.1	Ileostoma
A1Plate.1	Ileostoma
C2Plate.3	Ileostoma
B8Plate.1	Ileostoma
A12Plate.3	Ileostoma
A3Plate.3	Ileostoma
F1Plate.4	Ileostoma
A5Plate.4	Ileostoma
C2Plate.1	Ileostoma
A3Plate.7	Ileostoma
F2Plate.4	Ileostoma
C5Plate.4	Ileostoma
C9Plate.4	Ileostoma
C6Plate.1	Ileostoma
H8Plate.4	Ileostoma
F5Plate.4	Ileostoma
D4Plate.7	Ileostoma
E3Plate.4	Ileostoma
D2Plate.7	Ileostoma
A4Plate.4	Ileostoma
D3Plate.1	Ileostoma
A10Plate.7	Ileostoma
A9Plate.7	Ileostoma
D3Plate.7	Ileostoma
D12Plate.1	Ileostoma
C6Plate.7	Ileostoma
E1Plate.1	Ileostoma
C5Plate.7	Ileostoma
C3Plate.7	Ileostoma
E7Plate.1	Ileostoma
E8Plate.1	Ileostoma
E12Plate.1	Ileostoma
G2Plate.1	Ileostoma
D3Plate.2	Ileostoma
E8Plate.2	Ileostoma
F4Plate.2	Colostoma_Right
G3Plate.2	Colostoma_Right
A5Plate.2	Colostoma_Right
A6Plate.2	Colostoma_Right
B4Plate.1	Colostoma_Right
C7Plate.3	Colostoma_Right
B11Plate.3	Colostoma_Right
B10Plate.3	Colostoma_Right
C6Plate.3	Colostoma_Right
D9Plate.3	Colostoma_Right
G9Plate.3	Colostoma_Right
E9Plate.3	Colostoma_Right
G10Plate.3	Colostoma_Right
D10Plate.3	Colostoma_Right
A2Plate.4	Colostoma_Right
C7Plate.1	Colostoma_Right
A1Plate.4	Colostoma_Right
A3Plate.4	Colostoma_Right
E11Plate.1	Colostoma_Right
H11Plate.2	Colostoma_Right
F3Plate.2	Colostoma_Right
G12Plate.4	Colostoma_Right
A4Plate.1	Colostoma_Right
C5Plate.2	Colostoma_Left
B6Plate.2	Colostoma_Left
H12Plate.2	Colostoma_Left
G2Plate.2	Colostoma_Left
F11Plate.2	Colostoma_Left
B2Plate.1	Colostoma_Left
G7Plate.2	Colostoma_Left
C11Plate.2	Colostoma_Left
C12Plate.3	Colostoma_Left
D5Plate.3	Colostoma_Left
B2Plate.3	Colostoma_Left
A10Plate.3	Colostoma_Left
D4Plate.3	Colostoma_Left
F6Plate.3	Colostoma_Left
F7Plate.3	Colostoma_Left
D10Plate.4	Colostoma_Left
D2Plate.3	Colostoma_Left
D3Plate.3	Colostoma_Left
E3Plate.3	Colostoma_Left
A2Plate.3	Colostoma_Left
D6Plate.4	Colostoma_Left
E7Plate.3	Colostoma_Left
E8Plate.3	Colostoma_Left
D1Plate.3	Colostoma_Left
B12Plate.1	Colostoma_Left
F9Plate.4	Colostoma_Left
C1Plate.1	Colostoma_Left
D7Plate.4	Colostoma_Left
H12Plate.4	Colostoma_Left
E8Plate.4	Colostoma_Left
B12Plate.4	Colostoma_Left
G2Plate.4	Colostoma_Left
C10Plate.7	Colostoma_Left
C3Plate.1	Colostoma_Left
H11Plate.4	Colostoma_Left
B11Plate.4	Colostoma_Left
H4Plate.4	Colostoma_Left
D2Plate.4	Colostoma_Left
F7Plate.4	Colostoma_Left
B9Plate.7	Colostoma_Left
G11Plate.4	Colostoma_Left
D8Plate.4	Colostoma_Left
F8Plate.4	Colostoma_Left
F10Plate.4	Colostoma_Left
C4Plate.7	Colostoma_Left
G6Plate.4	Colostoma_Left
E2Plate.4	Colostoma_Left
H9Plate.4	Colostoma_Left
E9Plate.4	Colostoma_Left
E10Plate.4	Colostoma_Left
C8Plate.1	Colostoma_Left
D3Plate.4	Colostoma_Left
C2Plate.7	Colostoma_Left
C10Plate.1	Colostoma_Left
D2Plate.1	Colostoma_Left
A3Plate.1	Colostoma_Left
B8Plate.7	Colostoma_Left
C9Plate.7	Colostoma_Left
C8Plate.7	Colostoma_Left
A1Plate.7	Colostoma_Left
E3Plate.1	Colostoma_Left
A6Plate.7	Colostoma_Left
E4Plate.1	Colostoma_Left
B5Plate.7	Colostoma_Left
F3Plate.1	Colostoma_Left
F6Plate.1	Colostoma_Left
F7Plate.1	Colostoma_Left
A6Plate.1	Colostoma_Left
F10Plate.1	Colostoma_Left
F11Plate.1	Colostoma_Left
G6Plate.2	Colostoma_Left
F12Plate.2	Colostoma_Left
C6Plate.2	Colostoma_Left
A9Plate.1	Colostoma_Left
