	Class
2-Methoxynaphthalene	Benzenoids
Salicyluric_acid	Benzenoids
"(±)-2-(1-Methylpropyl)-4,6-dinitrophenol"	Benzenoids
Dopexamine	Benzenoids
Ranolazine	Benzenoids
4-Methoxycinnamic_acid	Cinnamic_acids_and_derivatives
4-Hydroxyphenylpyruvic_acid	Cinnamic_acids_and_derivatives
trans-Ferulic_acid	Cinnamic_acids_and_derivatives
"3-Methoxy-4,5-methylenedioxybenzoic_acid"	Cinnamic_acids_and_derivatives
Vanilpyruvic_acid	Cinnamic_acids_and_derivatives
Benzoylmalic_acid	Cinnamic_acids_and_derivatives
2-O-(Z-p-Hydroxycinnamoyl)-(x)-glyceric_acid	Cinnamic_acids_and_derivatives
{4-[(1E)-3-methoxy-3-oxoprop-1-en-1-yl]phenyl}oxidanesulfonic_acid	Cinnamic_acids_and_derivatives
Gravolenic_acid	Cinnamic_acids_and_derivatives
Mono-trans-p-coumaroylmesotartaric_acid	Cinnamic_acids_and_derivatives
5-Hydroxy-6-methoxycoumarin_7-glucoside	Cinnamic_acids_and_derivatives
"(6-{[3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy}-3,4,5-trihydroxyo..."	Cinnamic_acids_and_derivatives
2-Furanmethanethiol	Organoheterocyclic_compounds
"6-Acetyl-1,2,3,4-tetrahydropyridine"	Organoheterocyclic_compounds
Coumarin	Organoheterocyclic_compounds
3-Methyldioxyindole	Organoheterocyclic_compounds
(R)-2-Methylimino-1-phenylpropan-1-ol	Organoheterocyclic_compounds
2-Methyl-3-hydroxy-5-formylpyridine-4-carboxylate	Organoheterocyclic_compounds
Erinapyrone_C	Organoheterocyclic_compounds
Indoleacrylic_acid	Organoheterocyclic_compounds
5-Methoxytryptophol	Organoheterocyclic_compounds
N-Acetylserotonin	Organoheterocyclic_compounds
"2,4-Diamino-6,7-dimethoxyquinazoline"	Organoheterocyclic_compounds
3-Oxo-carbofuran	Organoheterocyclic_compounds
"2,4-Undecadiene-8,10-diynoic_acid_2,3-dehydropiperidide"	Organoheterocyclic_compounds
2-Carboxy-4-dodecanolide	Organoheterocyclic_compounds
Melatonin_radical	Organoheterocyclic_compounds
"5-(4-Acetoxy-1-butynyl)-2,2''-bithiophene"	Organoheterocyclic_compounds
Olomoucine	Organoheterocyclic_compounds
Ascorbigen	Organoheterocyclic_compounds
Rhazidigenine_Nb-oxide	Organoheterocyclic_compounds
Isomorellic_acid	Organoheterocyclic_compounds
L-Urobilin	Organoheterocyclic_compounds
C6:2	Organoheterocyclic_compounds
3-Hydroxy-4-butanolide	Organooxygen_compounds
"6-(3-ethenylphenoxy)-3,4,5-trihydroxyoxane-2-carboxylic_acid"	Organooxygen_compounds
Dimethyl_fukiic_acid	Organooxygen_compounds
"6-[2-carboxy-2-(hydroxymethyl)-2-methylethoxy]-3,4,5-trihydroxyoxane-2-carb..."	Organooxygen_compounds
Mahaleboside	Organooxygen_compounds
Glucocaffeic_acid	Organooxygen_compounds
3-O-Feruloylquinic_acid	Organooxygen_compounds
Veranisatin_C	Organooxygen_compounds
"2-(2,5-dihydroxy-4-methoxyphenyl)-6-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan..."	Organooxygen_compounds
