	SF2	SF3	SF12	SF14	SF17	SF20	SF21	SF24	SF25	SF26
Glyoxal reductase	3.614457831	1.506024096	0	0	0	0	0	0	0	0
N-acetyltransferase	1.095744681	1.565349544	0	0	0.939209726	0.939209726	2.504559271	0	0	0
Sensor histidine kinase RcsC	2.576959847	1.259847036	0	0	1.145315488	0	0	0	2.004302103	0.572657744
Protein CsiD	1.002745367	0.55708076	0	0.668496911	0	0	0	0	0	0.668496911
PTS system mannose-specific EIIAB component	1.095384615	0	0	0	0.219076923	0	0.136923077	0	0	0
Transcriptional regulatory protein RcsB	0.973244147	1.297658863	0	0	0	0	0	0	0	0
D-ribose pyranase	0.143674507	2.298792117	0	0	0	0	0	0	0	0
S-adenosylmethionine:tRNA ribosyltransferase-isomerase	0.412024269	1.281853282	0	0	0.178035178	0	0	0	0.040057915	0.040057915
Universal stress protein UP12	0.221011673	1.262923847	0	0	0.121434985	0	0	0	0	0
Fumarate and nitrate reduction regulatory protein	0.035052608	0.020030061	1.12168344	0	0.035052608	0	0	0	0.56084172	0
PTS system galactitol-specific EIIA component	0.208643287	0.218109861	2.075451647	0	0.207930221	0.296493092	0.518862912	0	0.23947519	0.141187187
Signal transduction histidine-protein kinase AtoS	0.049389115	0.041219487	1.305283757	0.261056751	0.065264188	0.652641879	0.261056751	1.044227006	0.174037834	0.186469108
putative Nudix hydrolase YfcD	0.063135884	0.066743649	1.112394149	0.333718245	0.037079805	0.834295612	0.143022105	0	0.309881227	0.091014067
Surface presentation of antigens protein SpaP	0.193096377	0.225279107	1.351674641	0	0.067583732	0.450558214	0.811004785	1.351674641	1.622009569	1.622009569
p-hydroxybenzoic acid efflux pump subunit AaeA	0.082020615	0.070303384	1.124854142	0	0.421820303	0	0	0	1.124854142	0
putative cyclic di-GMP phosphodiesterase PdeK	0	0	1.152354571	0	0.144044321	0.480147738	0.864265928	0	0.112034472	0.03601108
Outer membrane protein assembly factor BamA	0.154823612	0.155970453	1.462222998	0	0.12444451	0	0	0	0	0
6%2C7-dimethyl-8-ribityllumazine synthase	0.166106218	0.166106218	1.245796637	0.934347478	0.128875514	0.051908193	0.051908193	0	0.129770483	0.207632773
Cytochrome c-type protein TorC	0	0	0.488888889	1.866666667	0	0.266666667	0	0	0	0
putative protein	0	0	0	0	1.623376623	0	0	0	0.974025974	0.974025974
Ethanolamine ammonia-lyase heavy chain	0	0	0	0	2.068181818	0	0	0	0	0
Nickel transport system permease protein NikB	0.595238095	0.595238095	0	0	2.083333333	0	0	0	0	0
IS1 family transposase IS1H	0.79264214	0.79264214	0	0	1.849498328	0	0	0	0	0
Glucose-6-phosphate 1-dehydrogenase	0.259926471	0.178235294	0	0	0.024754902	1.188235294	1.039705882	1.188235294	0	0
D-serine dehydratase	0.537859008	0.627502176	0	0	0.038418501	1.613577023	0.119524224	0	1.075718016	1.075718016
Galactose/methyl galactoside import ATP-binding protein MglA	0.117986944	0.152399802	0.304799604	0	0.045155497	2.438396833	0.043542801	0	0	0
Carbamoyl dehydratase HypE	0	0	0	0	0	1.217391304	1.217391304	0	0	0
Sulfite reductase [NADPH] flavoprotein alpha-component	0.540281521	0.425471698	0	0	0	1.215633423	1.823450135	0	0	0
putative Fe(2+)-trafficking protein	0.01840796	0	0	0	0.098614072	1.104477612	1.380597015	0	0.042479908	0.042479908
Type II secretion system protein E	0.253429878	0.253429878	0	0	0.43445122	2.027439024	0.289634146	0.868902439	0	0
Putative acid--amine ligase YgiC	0.151763224	0.220746508	0	0	0.146142364	2.124685139	0.260165527	0	0.068983284	0.068983284
Ribosomal RNA small subunit methyltransferase J	0.062519753	0.17505531	0	0	0.0804852	1.167035398	0	0	0	0
tRNA-Ala(tgc)	0.070757881	0.081049936	0	0	0.042454728	1.188732394	0	0	0.382092555	0.066040689
D-serine transporter DsdX	0.134367068	0.046580583	0	0	0.122274032	0	0.349354376	0	0	1.048063128
Cellulose synthase catalytic subunit [UDP-forming]	0.049284459	0.048890184	0	0	0.085378078	0	0	0	0.122225459	1.833381882
putative lipoprotein YiaD	0.036013011	0.036013011	0	0	0.041157727	0	0	0	1.296468401	1.296468401
Pyrimidine monooxygenase RutA	0	0	0.523195876	0	0.498281787	0.996563574	1.494845361	0	0.469808542	0.498281787
Chaperone protein SicA	0.14686907	0.147956989	0	0	0.171735791	0.369892473	1.109677419	0	0	0
Alanine racemase%2C biosynthetic	0.292467399	0.167124228	0	0	0.41781057	0	1.002745367	0	0.111416152	0.083562114
Multidrug resistance protein MdtN	0.051017355	0.051017355	0	0	0.02661775	0.688734291	1.530520646	0	0.117732357	0.117732357
Putative aminoacrylate hydrolase RutD	0.055702344	0.084879763	0	0	0.034278366	0	0	1.485395849	0.059415834	0.059415834
Antitoxin HipB	0.0294607	0.04419105	0	0	0.017846386	0	0	1.237349398	0	0
High-affinity zinc uptake system membrane protein ZnuB	0.156225756	0.138867339	0	0	0.090425244	0	0	1.38867339	0.166640807	0.166640807
Membrane-bound lytic murein transglycosylase F	0.065170968	0.079886993	0	0	0.025729837	0	0	1.061355764	0.117928418	0.081642751
Regulatory protein AsnC	0.238813474	0.238813474	0	0	0.110877684	0	0	1.055555556	0	0
Periplasmic AppA protein	0.299709724	0.385341074	0	0	0.149854862	0.299709724	0.899129173	0	1.198838897	0.899129173
Type-1 fimbrial protein	0.088954057	0.088954057	0.80058651	0	0	0	0	0	1.601173021	0
Multiple antibiotic resistance protein MarA	0	0.215346535	0.669966997	0.574257426	0.287128713	0	0	0	1.004950495	0.861386139
Guanylate kinase	0.103125	0.11	0	0	0.0275	0	0	0	1.008333333	0
tRNA (guanosine(18)-2O)-methyltransferase	0.01348225	0.012920489	0.930275229	0	0.046513761	0.73646789	0.482364934	0.775229358	3.721100917	0
Crossover junction endodeoxyribonuclease RusA	0	0	0	0	0	0	0	0	1.254054054	0.47027027
