	SF2	SF3	SF9	SF10	SF20	SF21	SF23	SF26	SF25
2-iminobutanoate/2-iminopropanoate deaminase	0	2.263179572	0	0	0.058783885	0.068065551	0	0	0.046187338
50S ribosomal protein L20	0	0	1.246161228	1.186820218	0.569673704	0.830774152	0	0	0.445057582
Adenylate cyclase	0	0	1.354954524	1.354954524	0.451651508	0.301101005	0	0.301101005	0.301101005
Aldehyde-alcohol dehydrogenase	0	0	0	0	1.334073252	1.334073252	0	0	0.222345542
Aliphatic amidase expression-regulating protein	0	0	0	0	0.090353261	0.060235507	0	0	1.08423913
Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnH	0	0	0	0	0.086627471	0.086627471	0	1.732549412	0.269507686
Bifunctional protein PaaZ	0.702926397	1.054389595	0	0	0.0585772	0.07029264	0	0	0.0878658
Cobalt-precorrin-7 C(5)-methyltransferase	0	0	0	0	0	0	0	1.788793103	1.788793103
Cyclic di-GMP binding protein BcsE	0	0	0	0	0.765979381	1.531958763	0	0.153195876	0.306391753
Cytidine deaminase	0	0	0	0	1.320821114	1.320821114	0	0	0
Cytochrome bd-I ubiquinol oxidase subunit 2	0	0	0	0	0.386160714	0.193080357	0	0	1.158482143
Dipeptidyl carboxypeptidase	0	0	0.569134701	0.426851026	1.138269402	1.138269402	0	0	0.569134701
FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase	0	0	0	0	0.950581395	2.218023256	0	0	1.26744186
Glutathione S-transferase YfcF	0	0	0	0	0.346385542	0.346385542	1.039156627	2.424698795	1.731927711
Glutathione-regulated potassium-efflux system ancillary protein KefG	0	0	3.662952646	3.662952646	0.488393686	0.457869081	0	0.366295265	0.641016713
Glyceraldehyde-3-phosphate dehydrogenase	0	0	0	0	1.023255814	0	0.157423971	0	0.341085271
Glycerol-3-phosphate regulon repressor	0	0	0	0	1.061344538	1.061344538	0	0.353781513	0.530672269
Heat shock protein HspQ	1.446676971	2.57187017	0.5625966	0.5625966	1.607418856	2.893353941	0	0	0
HTH-type transcriptional regulator DmlR	1.515711645	0	3.165853659	3.453658537	4.317073171	2.87804878	4.317073171	0.664259928	1.660649819
HTH-type transcriptional regulator SyrM 1	0.930979133	1.67576244	1.11717496	1.11717496	1.11717496	1.67576244	0	0.744783307	0.993044409
Hydrogen peroxide-inducible genes activator	0	0	0	0	0.21143617	0.21143617	0	0	1.057180851
Inner membrane protein YiaB	1.594189602	1.716819572	0	0	0.113196895	0.122629969	0	0.043281166	0.026277851
Inosose dehydratase	0	0	0	0	1.034302326	1.034302326	0	0	0.206860465
Integration host factor subunit alpha	0	0	0	0	0	0	1.856513026	0	0.077354709
IS5 family transposase IS903	1.011035654	1.348047538	1.011035654	0.674023769	1.685059423	1.348047538	0	0	0.131060177
ISNCY family transposase ISBcen27	1.072572038	1.072572038	0	0	0.134071505	0.134071505	0.085805763	0.28601921	0
Isoxanthopterin deaminase	1.56223176	1.785407725	0	0	0.148783977	0.267811159	0	0.223175966	0.32732475
L-cystine-binding protein FliY	1.59691137	0	1.59691137	1.171068338	0.290347522	0.372612653	0	0	0.174208513
Malonate decarboxylase acyl carrier protein	0	0	0	0	1.425217721	1.06891329	0	0.178152215	0
N-methyl-L-tryptophan oxidase	0	0	0.708449396	1.062674095	0.113857939	0.101207057	0.30362117	0	0.023355475
NH(3)-dependent NAD(+) synthetase	0	0	0	0	0.074639175	0	1.492783505	1.492783505	0
Nickel/cobalt homeostasis protein RcnB	1.511764706	0	0.907058824	0	0.181411765	0.075588235	0.181411765	0	0.116289593
Osmotically-inducible putative lipoprotein OsmE	3.116029823	2.769804287	0	0	0.302947344	0.346225536	1.731127679	0	0.605894688
"p-cumate 2,2C3-dioxygenase system,2C ferredoxin--NAD(+) reductase component"	0	0	0	0	0.13554668	0.13554668	0	1.08437344	1.445831253
Periplasmic serine endoprotease DegP	0	0	0	0	1.266849315	0.950136986	0	0.316712329	0.158356164
"Phosphoribosyl 1,2C2-cyclic phosphate phosphodiesterase"	0	0	0	0	0.199310589	0.199310589	1.913381651	0.637793884	0.637793884
Polyphenol oxidase	0	0	0	0	0	0	0	0	1.144736842
Proline-specific permease ProY	1.140147524	1.140147524	0	0	0.047506147	0	0	0	0
Protease 4	0	0	0	0	0.827272727	0.827272727	0	0	1.063636364
Pullulanase	0	0	0	0	0.297358121	0.297358121	0	1.040753425	1.040753425
putative fructose-bisphosphate aldolase	0	0	0	0	0	0	0	0	1.199127907
putative HTH-type transcriptional regulator	0	0	0	0	0.518848384	1.037696769	0	0.345898923	0.172949461
Putative metabolite transport protein YjhB	0	0	0	0	0.267066421	0.17804428	0	0	1.068265683
putative oxidoreductase YghA	3.209751143	2.888776028	3.530726257	3.530726257	0.259836997	0.320975114	2.888776028	0.128390046	0.160487557
putative protein	0	0	0	0	1.592065107	1.592065107	0	0.159206511	0.477619532
putative protein YccU	0	0	0	0	2.825655563	0.784904323	0	0	3.139617293
putative transporter	0	0	0	0	1.351127474	1.351127474	0	0	1.688909342
Quorum-sensing regulator protein G	0	0	0	0	1.117101938	1.117101938	0	0.372367313	0.372367313
Regulator of RpoS	0	0	0	0	1.52245345	1.52245345	0	0	0.152245345
Ribokinase	0	0	0	0	1.018242919	1.018242919	0	0.339414306	0.339414306
Ribosomal-protein-alanine acetyltransferase	1.027457524	1.027457524	1.422633495	1.580703883	1.14842233	0.541955617	0	0.421521036	0.632281553
RNA polymerase sigma factor RpoS	0	0	0	0	0	0	0	1.489242283	0.744621141
Sensor protein BasS	0.80764367	0.77399185	0.825763881	0.894577537	1.184544049	1.357290057	0	0.863730036	0.987120041
Thiamine-binding periplasmic protein	0	0	0	0	0.505046864	0.505046864	0	1.346791637	0
Transcriptional regulator ModE	0	0	0	0	1.153846154	1.153846154	0	0	0
tRNA pseudouridine synthase D	0	0	0	0	1.214805825	1.214805825	0	0	0
tRNA-Gly(gcc)	0	0	0	0	0	0	0.175680787	0	1.288325769
tRNA-Tyr(gta)	0	0	0	0	0.190744024	0.190744024	0	0	1.398789509
