P11.1	P11.2	P11.3	P11.4	P11.5	P13.1	P13.2	P13.3	P13.4	P13.5	P14.1	P14.2	P14.3	P14.4	P14.5	P14.6	P15.1	P15.2	P15.3	P15.4	P15.5	P20.1	P20.2	P20.3	P20.4	P20.5	P20.6	P29.1	P29.2	P29.3	P29.5	
k__Viridiplantae|p__Streptophyta	99.95643817	99.93595901	99.97495617	99.70363026	99.97447482	99.87536969	99.73808422	99.94670029	99.90584127	99.96972949	99.95316685	99.97855458	99.93137817	99.78064493	99.95587194	99.96155505	99.86678268	99.9575645	99.95842528	99.94605375	99.98515142	99.95251586	99.97073823	99.98440111	99.95253144	99.95176032	99.96581964	99.95389524	99.90693045	99.94296321	99.95111973
k__Viridiplantae|p__Chlorophyta	0.033760421	0.04696339	0.025043827	0.213272086	0.024674341	0.116387567	0.260636063	0.041599771	0.08559885	0.022014915	0.034637019	0	0.054747468	0.217530157	0.033944661	0.037797003	0.125996874	0.029455228	0.034721746	0.046998627	0.014106153	0.033518216	0.02229468	0.010878177	0.046996569	0.042554291	0.025548957	0.030736508	0.069802163	0.054458859	0.037600205
k__Viridiplantae|p__Streptophyta|o__Fabales	17.85545095	14.4220301	37.0523416	16.41062723	21.67513252	18.33384438	20.89418219	15.30741581	19.39498733	22.01216324	14.75976057	12.73858031	14.70419493	20.10803511	17.61121726	22.50678366	18.51865223	15.78350907	16.58465938	16.85125548	21.5660799	17.16012928	17.48460274	20.87645265	24.15279751	20.49187247	17.85008977	15.87479176	15.48380008	22.64650722	15.50782836
k__Viridiplantae|p__Streptophyta|o__Fabales|f__Fabaceae	17.85545095	14.4220301	37.0523416	16.41062723	21.67513252	18.33384438	20.89418219	15.30741581	19.39498733	22.01216324	14.75976057	12.73858031	14.70419493	20.10803511	17.61121726	22.50678366	18.51865223	15.78350907	16.58465938	16.85125548	21.5660799	17.16012928	17.48460274	20.87645265	24.15279751	20.49187247	17.85008977	15.87479176	15.48380008	22.64650722	15.50782836
k__Viridiplantae|p__Streptophyta|c__Liliopsida	15.82438047	15.28871811	11.2572001	11.48432735	12.06234951	15.34436542	13.55563471	18.29869936	15.35300966	14.92060871	18.58885859	42.05447137	19.14173969	13.97667756	16.90201631	11.99439308	14.99543306	19.16886333	17.53676622	18.15495652	11.96869919	15.30824788	14.13761391	12.92840518	10.22084342	12.93650452	14.09957188	17.93536727	15.43661899	12.62704382	18.16353081
k__Viridiplantae|p__Streptophyta|o__Solanales	4.776555021	4.534101825	8.064112196	10.00060629	14.79269299	9.351559692	15.88642922	5.170721561	10.60227351	14.59313685	4.793568247	16.79176496	5.138012367	15.00812088	6.99332745	14.64738276	9.915484619	4.474698458	4.908558454	7.807084941	14.4276243	4.802282431	9.065574227	11.42783253	14.37076854	11.94500676	3.942135064	4.619082454	8.993491595	14.07197592	4.158582623
k__Viridiplantae|p__Streptophyta|o__Solanales|f__Solanaceae	3.752851939	3.816842779	7.475582269	8.991486949	13.76232654	8.115477568	14.55296223	3.977978121	9.345682394	13.23646771	3.615909612	15.91250268	4.031813529	14.19785755	5.823448971	13.17977911	8.690535072	3.430285965	3.8180215	6.691787092	13.5493307	3.773193408	8.21280272	10.16021707	13.07448585	10.80189858	3.029277724	3.479372729	7.846280126	12.92286176	3.086976793
k__Viridiplantae|p__Streptophyta|c__Liliopsida|o__Poales	9.731169036	11.76432917	8.239418983	7.570356607	6.871378615	9.288255406	7.894585296	11.35673754	8.207217695	6.513663007	11.38094379	39.05211237	11.63346195	8.178914904	9.684896566	6.199356515	8.671761898	11.43412014	10.42977298	10.693618	6.439087406	9.302501895	8.832873506	7.160098027	5.065582801	6.989413113	8.544054689	10.5850387	7.486928252	7.14313335	11.08303629
k__Viridiplantae|p__Streptophyta|c__Liliopsida|o__Poales|f__Poaceae	9.224218201	11.42491194	7.801152016	6.507919242	5.829100408	8.579708998	6.840097003	10.82114048	7.404300486	5.872478604	10.9087095	38.49453142	11.15348415	7.164990784	9.043584944	4.990572347	7.972822222	10.95484863	9.946409726	10.05402799	5.530354213	8.778580264	8.402307499	6.493245268	4.020802556	6.145046388	8.143212263	10.09448403	6.940144646	6.364274988	10.65514596
k__Viridiplantae|p__Streptophyta|o__Rosales	3.37223042	3.823246878	11.8206862	7.05402774	7.091746007	4.90113651	6.252706072	3.089433008	5.464630555	5.324857591	3.06513223	4.246193438	4.714656947	6.014562841	4.4329302	6.992445639	5.195114643	3.504173656	3.4621236	4.422775126	9.837185303	3.524999002	4.892288828	4.828063233	7.746949437	6.997682772	2.977489297	3.790426192	4.026550674	6.893718219	3.616011671
