	SF2	SF3	SF12	SF14	SF17	SF20	SF21	SF24	SF25	SF26
328789_Chaperone_protein_TorD	0.452586207	0.483425414	1	1	0.4375	0.063324538	0.054794521	0	0.012658228	0.012345679
328806_Chaperone_protein_TorD	0.066350711	0.036253776	0.000474383	1	0.225806452	1	1	1	1	1
328878_TorCAD_operon_transcriptional_regulatory_protein_TorR	0.061349693	0.044	0	0	0.2	0	0	0	0.003154574	0
329065_TorCAD_operon_transcriptional_regulatory_protein_TorR	0	0	0	0	0	0	0	0	0.011494253	0.018867925
329117_TorCAD_operon_transcriptional_regulatory_protein_TorR	0.050847458	0.048245614	0	0	0.333333333	0.038647343	0.069767442	0	0	0
335036_Curved_DNA-binding_protein	0	0	0	0	0.115384615	0.062992126	0.083333333	0	0	0
348651_Iron_uptake_system_component_EfeO	0	0	0	0	0	0	0	0.1	0	0
348657_Iron_uptake_system_component_EfeO	0.480662983	0.45	0	0	0.269230769	0	0	0.105263158	0	0
348666_Bifunctional_protein_PutA	0	0	0.000513611	0	0	0	0	0.047619048	0	0
349032_Iron_uptake_system_component_EfeO	0.096774194	0.041666667	0	0	0.476190476	0	0	0	0	0
349038_Bifunctional_protein_PutA	0.012345679	0.004016064	0.00105042	0	0.25	0	0	0	0.008746356	0
349191_Bifunctional_protein_PutA	0.025641026	0.006711409	0	0	0.3125	0	0	0	0	0
349258_Bifunctional_protein_PutA	0	0	0	0	0	0	0	0	0	0
349269_Bifunctional_protein_PutA	0	0	0	0	0	0	0	0	0	0
349386_Bifunctional_protein_PutA	0	0	0	0	0.133333333	0.006451613	0	0	0	0
349431_Bifunctional_protein_PutA	0.063829787	0.066176471	0	0	0.333333333	0	0	0	0	0
349494_Iron_uptake_system_component_EfeO	0	0	0	0	0	0	0	0	0.0125	0.032258065
349566_Iron_uptake_system_component_EfeO	0	0	0	0	0	0	0	0	0	0
349665_Bifunctional_protein_PutA	0	0	0	0	0	0	0	0	0	0
349683_Bifunctional_protein_PutA	0	0	0	0	0	0	0	0	0	0
351412_Protein_PhoH	0	0	0.001683502	0	0	0	0	0	0.464864865	0.28125
643899_Diguanylate_cyclase_DgcM	0.451282051	0.474708171	0	0	0.466666667	0	0	0	0	0
644133_Diguanylate_cyclase_DgcM	0.051136364	0.053797468	0.000491884	0	0.181818182	0	0	0	0.022801303	0
644304_Diguanylate_cyclase_DgcM	0.0625	0.053125	0	0	0.136363636	0	0	0	0	0
644376_tRNA-cytidine(32)_2-sulfurtransferase	1	1	1	1	0.4	0.009615385	0.033333333	0	0.02189781	1
849678_Trans-aconitate_2-methyltransferase	0	0.005649718	0	0	0	0	0	0	0	0
851797_Altronate_oxidoreductase	0.088888889	0.064676617	0.00060241	1	1	1	1	1	1	1
852763_Altronate_oxidoreductase	0.004366812	0.007272727	0	0	0.290322581	0.025735294	0.050847458	0	0	0
852853_Altronate_oxidoreductase	0.053140097	0.044520548	0	0	0.172413793	0	0	0	0	0
873480_PTS_system_cellobiose-specific_EIIB_component	0.027777778	0.073170732	0	0	0	0	0	0	0	0
873678_putative_amino-acid_metabolite_efflux_pump	1	1	0	0	0	1	1	1	0	0
1245260_Protein_YobA	0	0	0.000505051	0	0	0	0	0	0.277310924	0.489361702
1245301_Protein_YobA	0	0.003289474	0.000963855	0	0	0.038194444	0	0	0	0
1263625_Holliday_junction_ATP-dependent_DNA_helicase_RuvB	0.049586777	0.052023121	0.000615764	1	0.142857143	0	0	0	0.017730496	1
1263646_Holliday_junction_ATP-dependent_DNA_helicase_RuvB	0.051470588	0.07	0	0	0.090909091	0.029090909	0.034482759	0	0	0
1263954_Holliday_junction_ATP-dependent_DNA_helicase_RuvB	0.392156863	0.358208955	0	0	0	0.096774194	0.357142857	0	0	0
1272151_Trimethylamine-N-oxide_reductase_2	0.439716312	0.443181818	0	0	0.466666667	1	1	1	0	0
1272196_Trimethylamine-N-oxide_reductase_2	0	0	0	0	0.5	0	0	0	0	0
1272217_Trimethylamine-N-oxide_reductase_2	0	0	0	0	0.363636364	0	0.037037037	0	0	0
1272313_Trimethylamine-N-oxide_reductase_2	0	0	0	0	0	0	0	0	0.434782609	0.1875
1272332_Trimethylamine-N-oxide_reductase_2	0	0.008333333	0	0	0.333333333	0	0	0	0.022727273	0
1272349_Cytochrome_c-type_protein_TorY	1	1	0.000906618	1	0.384615385	1	1	0	0.427631579	0.268292683
1272415_Cytochrome_c-type_protein_TorY	0.065693431	0.036363636	0	0	0.466666667	0	0	0	0.35840708	0.366197183
1272523_Trimethylamine-N-oxide_reductase_2	0	0	0	0	0.058823529	0	0	0	0.361623616	0.406593407
1272526_Cytochrome_c-type_protein_TorY	0	0	0	0	0	0	0	0	0.327338129	0.430232558
1272586_Trimethylamine-N-oxide_reductase_2	0.04787234	0.036666667	0	0	0.333333333	0	0	0	0	0
1272733_Cytochrome_c-type_protein_TorY	0	0	0	0	0	0	0	0	0	0
1272743_Trimethylamine-N-oxide_reductase_2	0.057894737	0.060483871	0	0	0.481481481	0	0	0	0	0
1272751_Trimethylamine-N-oxide_reductase_2	0.051282051	0.059925094	0	0	0.407407407	0	0	0	0	0
1272883_Cytochrome_c-type_protein_TorY	0.050561798	0.07826087	0	0	0.178571429	0	0	0	0	0
1273105_Trimethylamine-N-oxide_reductase_2	0	0	0.000540541	1	0.24137931	0	0	0	0.258566978	0.444444444
1273179_Trimethylamine-N-oxide_reductase_2	0.005847953	0.004149378	0.000564016	1	1	1	1	1	1	1
1746119_Protein_InaA	1	1	0	0	1	1	1	1	0	0
1746142_Protein_InaA	0.25	0.180327869	0	0	0	0	0	0	0	0
1748149_Protein_InaA	0.041666667	0.086666667	0	0	0	0	0	0	0	0
1748266_Protein_InaA	0.4296875	0.485549133	0	0	0	0	0	0	0	0
1748284_Protein_InaA	0.427350427	0.433962264	0	0	0	0	0	0	0	0
