ID	Name	Product
GUT_GENOME147598_00001	mioC	Protein MioC
GUT_GENOME147598_00002	asnC	Regulatory protein AsnC
GUT_GENOME147598_00003	asnA	Aspartate--ammonia ligase
GUT_GENOME147598_00004	viaA	Protein ViaA
GUT_GENOME147598_00005	ravA	ATPase RavA
GUT_GENOME147598_00006	kup	Low affinity potassium transport system protein kup
GUT_GENOME147598_00007	rbsD	D-ribose pyranase
GUT_GENOME147598_00008	rbsA_1	Ribose import ATP-binding protein RbsA
GUT_GENOME147598_00009	rbsC_1	Ribose import permease protein RbsC
GUT_GENOME147598_00010	rbsB_1	Ribose import binding protein RbsB
GUT_GENOME147598_00011	rbsK_1	Ribokinase
GUT_GENOME147598_00012	rbsR_1	Ribose operon repressor
GUT_GENOME147598_00013	hsrA_1	putative transport protein HsrA
GUT_GENOME147598_00014	nanR	Transcriptional regulator NanR
GUT_GENOME147598_00015	NA	16S ribosomal RNA
GUT_GENOME147598_00016	NA	tRNA-Glu(ttc)
GUT_GENOME147598_00017	NA	23S ribosomal RNA
GUT_GENOME147598_00018	NA	5S ribosomal RNA
GUT_GENOME147598_00019	mobB	Molybdopterin-guanine dinucleotide biosynthesis adapter protein
GUT_GENOME147598_00020	mobA	Molybdenum cofactor guanylyltransferase
GUT_GENOME147598_00021	yihD	Protein YihD
GUT_GENOME147598_00022	srkA	Stress response kinase A
GUT_GENOME147598_00023	dsbA_1	Thiol:disulfide interchange protein DsbA
GUT_GENOME147598_00024	yihG	putative acyltransferase YihG
GUT_GENOME147598_00025	polA	DNA polymerase I
GUT_GENOME147598_00026	engB	putative GTP-binding protein EngB
GUT_GENOME147598_00027	yihI	Der GTPase-activating protein YihI
GUT_GENOME147598_00028	hemN_1	Oxygen-independent coproporphyrinogen III oxidase
GUT_GENOME147598_00029	ntrC	DNA-binding transcriptional regulator NtrC
GUT_GENOME147598_00030	glnL	Sensory histidine kinase/phosphatase NtrB
GUT_GENOME147598_00031	glnA	Glutamine synthetase
GUT_GENOME147598_00032	typA	GTP-binding protein TypA/BipA
GUT_GENOME147598_00033	yihX	Alpha-D-glucose 1-phosphate phosphatase YihX
GUT_GENOME147598_00034	NA	hypothetical protein
GUT_GENOME147598_00035	dtd	D-aminoacyl-tRNA deacylase
GUT_GENOME147598_00036	NA	hypothetical protein
GUT_GENOME147598_00037	nlhH	Carboxylesterase NlhH
GUT_GENOME147598_00038	NA	hypothetical protein
GUT_GENOME147598_00039	vapC_1	tRNA(fMet)-specific endonuclease VapC
GUT_GENOME147598_00040	fdhE	Protein FdhE
GUT_GENOME147598_00041	fdoI	Formate dehydrogenase%2C cytochrome b556(fdo) subunit
