	ID	Name	Product
1	GUT_GENOME144544_00001	NA	hypothetical protein
2	GUT_GENOME144544_00002	NA	hypothetical protein
3	GUT_GENOME144544_00003	glmS_1	Glutamate mutase sigma subunit
4	GUT_GENOME144544_00004	NA	hypothetical protein
5	GUT_GENOME144544_00005	NA	hypothetical protein
6	GUT_GENOME144544_00006	cydA	Cytochrome bd-I ubiquinol oxidase subunit 1
7	GUT_GENOME144544_00007	cydB	Cytochrome bd-I ubiquinol oxidase subunit 2
8	GUT_GENOME144544_00008	cydX	Cytochrome bd-I ubiquinol oxidase subunit X
9	GUT_GENOME144544_00009	NA	hypothetical protein
10	GUT_GENOME144544_00010	ybgC	Acyl-CoA thioester hydrolase YbgC
11	GUT_GENOME144544_00011	tolQ	Protein TolQ
12	GUT_GENOME144544_00012	tolR	Protein TolR
13	GUT_GENOME144544_00013	tolA	Protein TolA
14	GUT_GENOME144544_00014	tolB	Protein TolB
15	GUT_GENOME144544_00015	pal	Peptidoglycan-associated lipoprotein
16	GUT_GENOME144544_00016	cpoB	Cell division coordinator CpoB
17	GUT_GENOME144544_00017	NA	tRNA-Lys(ttt)
18	GUT_GENOME144544_00018	NA	tRNA-Val(tac)
19	GUT_GENOME144544_00019	NA	tRNA-Lys(ttt)
20	GUT_GENOME144544_00020	NA	tRNA-Val(tac)
21	GUT_GENOME144544_00021	NA	tRNA-Lys(ttt)
22	GUT_GENOME144544_00022	NA	tRNA-Lys(ttt)
23	GUT_GENOME144544_00023	NA	tRNA-Lys(ttt)
24	GUT_GENOME144544_00024	nadA	Quinolinate synthase A
25	GUT_GENOME144544_00025	pnuC	Nicotinamide riboside transporter PnuC
26	GUT_GENOME144544_00026	zitB	Zinc transporter ZitB
27	GUT_GENOME144544_00027	NA	hypothetical protein
28	GUT_GENOME144544_00028	aroG	Phospho-2-dehydro-3-deoxyheptonate aldolase%2C Phe-sensitive
29	GUT_GENOME144544_00029	gpmA	2%2C3-bisphosphoglycerate-dependent phosphoglycerate mutase
30	GUT_GENOME144544_00030	galM	Aldose 1-epimerase
31	GUT_GENOME144544_00031	galK	Galactokinase
32	GUT_GENOME144544_00032	galT	Galactose-1-phosphate uridylyltransferase
33	GUT_GENOME144544_00033	galE	UDP-glucose 4-epimerase
34	GUT_GENOME144544_00034	btuD_1	Vitamin B12 import ATP-binding protein BtuD
35	GUT_GENOME144544_00035	modE	Transcriptional regulator ModE
36	GUT_GENOME144544_00036	acrZ	Multidrug efflux pump accessory protein AcrZ
37	GUT_GENOME144544_00037	modA	Molybdate-binding protein ModA
38	GUT_GENOME144544_00038	modB	Molybdenum transport system permease protein ModB
39	GUT_GENOME144544_00039	btuD_2	Vitamin B12 import ATP-binding protein BtuD
40	GUT_GENOME144544_00040	ybhA	Pyridoxal phosphate phosphatase YbhA
41	GUT_GENOME144544_00041	pgl	6-phosphogluconolactonase
42	GUT_GENOME144544_00042	oxyR_1	Hydrogen peroxide-inducible genes activator
43	GUT_GENOME144544_00043	galD	4-oxalomesaconate tautomerase
44	GUT_GENOME144544_00044	ybhI	Inner membrane protein YbhI
45	GUT_GENOME144544_00045	leuC_1	3-isopropylmalate dehydratase large subunit
46	GUT_GENOME144544_00046	ybhC	Putative acyl-CoA thioester hydrolase YbhC
47	GUT_GENOME144544_00047	NA	hypothetical protein
48	GUT_GENOME144544_00048	bioA	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
49	GUT_GENOME144544_00049	bioB	Biotin synthase
50	GUT_GENOME144544_00050	bioF_1	8-amino-7-oxononanoate synthase
51	GUT_GENOME144544_00051	bioC	Malonyl-[acyl-carrier protein] O-methyltransferase
52	GUT_GENOME144544_00052	bioD1_1	ATP-dependent dethiobiotin synthetase BioD 1
53	GUT_GENOME144544_00053	uvrB	UvrABC system protein B
54	GUT_GENOME144544_00054	ybhK	Putative gluconeogenesis factor
55	GUT_GENOME144544_00055	moaA	GTP 3'%2C8-cyclase
56	GUT_GENOME144544_00056	moaB	Molybdenum cofactor biosynthesis protein B
57	GUT_GENOME144544_00057	moaC	Cyclic pyranopterin monophosphate synthase
58	GUT_GENOME144544_00058	moaD	Molybdopterin synthase sulfur carrier subunit
59	GUT_GENOME144544_00059	moaE	Molybdopterin synthase catalytic subunit
60	GUT_GENOME144544_00060	ybhL	Inner membrane protein YbhL
61	GUT_GENOME144544_00061	NA	hypothetical protein
62	GUT_GENOME144544_00062	NA	hypothetical protein
63	GUT_GENOME144544_00063	NA	hypothetical protein
64	GUT_GENOME144544_00064	NA	hypothetical protein
65	GUT_GENOME144544_00065	ybhN	Inner membrane protein YbhN
66	GUT_GENOME144544_00066	clsB	Cardiolipin synthase B
67	GUT_GENOME144544_00067	NA	hypothetical protein
68	GUT_GENOME144544_00068	ybhQ	Inner membrane protein YbhQ
69	GUT_GENOME144544_00069	ybhR	putative multidrug ABC transporter permease YbhR
70	GUT_GENOME144544_00070	ybhS	putative multidrug ABC transporter permease YbhS
71	GUT_GENOME144544_00071	ybhF	putative multidrug ABC transporter ATP-binding protein YbhF
72	GUT_GENOME144544_00072	NA	hypothetical protein
73	GUT_GENOME144544_00073	cecR	HTH-type transcriptional dual regulator CecR
74	GUT_GENOME144544_00074	rhlE_1	ATP-dependent RNA helicase RhlE
75	GUT_GENOME144544_00075	NA	hypothetical protein
76	GUT_GENOME144544_00076	dinG_1	putative ATP-dependent helicase DinG
77	GUT_GENOME144544_00077	ybiB	putative protein YbiB
78	GUT_GENOME144544_00078	hcxB	Hydroxycarboxylate dehydrogenase B
79	GUT_GENOME144544_00079	bhsA_1	Multiple stress resistance protein BhsA
80	GUT_GENOME144544_00080	ybiI_1	putative protein YbiI
81	GUT_GENOME144544_00081	NA	PKHD-type hydroxylase
82	GUT_GENOME144544_00082	fiu	Catecholate siderophore receptor Fiu
83	GUT_GENOME144544_00083	mcbA	putative protein McbA
84	GUT_GENOME144544_00084	rlmF	Ribosomal RNA large subunit methyltransferase F
85	GUT_GENOME144544_00085	ybiO	Moderate conductance mechanosensitive channel YbiO
86	GUT_GENOME144544_00086	glnQ_1	Glutamine transport ATP-binding protein GlnQ
87	GUT_GENOME144544_00087	glnP	Glutamine transport system permease protein GlnP
88	GUT_GENOME144544_00088	glnH	Glutamine-binding periplasmic protein
89	GUT_GENOME144544_00089	dps	DNA protection during starvation protein
90	GUT_GENOME144544_00090	rhtA	Threonine/homoserine exporter RhtA
91	GUT_GENOME144544_00091	ompX_1	Outer membrane protein X
92	GUT_GENOME144544_00092	opgE	Phosphoethanolamine transferase OpgE
93	GUT_GENOME144544_00093	mntS	Small protein MntS
94	GUT_GENOME144544_00094	mntR	Transcriptional regulator MntR
95	GUT_GENOME144544_00095	ybiR	Inner membrane protein YbiR
96	GUT_GENOME144544_00096	ybiS	putative L%2CD-transpeptidase YbiS
97	GUT_GENOME144544_00097	ybiT	putative ABC transporter ATP-binding protein YbiT
98	GUT_GENOME144544_00098	NA	IS110 family transposase IS621
99	GUT_GENOME144544_00099	ybiU	putative protein YbiU
100	GUT_GENOME144544_00100	ybiV	Sugar phosphatase YbiV
101	GUT_GENOME144544_00101	cutC_1	Choline trimethylamine-lyase
102	GUT_GENOME144544_00102	cutD	Choline trimethylamine-lyase activating enzyme
103	GUT_GENOME144544_00103	fsaA	Fructose-6-phosphate aldolase 1
104	GUT_GENOME144544_00104	moeB	Molybdopterin-synthase adenylyltransferase
105	GUT_GENOME144544_00105	moeA	Molybdopterin molybdenumtransferase
106	GUT_GENOME144544_00106	iaaA	Isoaspartyl peptidase
107	GUT_GENOME144544_00107	gsiA	Glutathione import ATP-binding protein GsiA
108	GUT_GENOME144544_00108	gsiB	Glutathione-binding protein GsiB
109	GUT_GENOME144544_00109	gsiC	Glutathione transport system permease protein GsiC
110	GUT_GENOME144544_00110	gsiD	Glutathione transport system permease protein GsiD
111	GUT_GENOME144544_00111	pdeI	putative cyclic di-GMP phosphodiesterase PdeI
112	GUT_GENOME144544_00112	NA	hypothetical protein
113	GUT_GENOME144544_00113	NA	hypothetical protein
114	GUT_GENOME144544_00114	NA	hypothetical protein
115	GUT_GENOME144544_00115	rimO	Ribosomal protein S12 methylthiotransferase RimO
116	GUT_GENOME144544_00116	NA	hypothetical protein
117	GUT_GENOME144544_00117	yliI	Aldose sugar dehydrogenase YliI
