	SF2	SF3	SF9	SF10	SF20	SF21	SF23	SF25	SF26	SF2subset	SF3subset	SF9subset	SF10subset	SF20subset	SF21subset	SF23subset	SF25subset	SF26subset
11664_Ribokinase	0	0	0	0	0.140703518	0.32967033	0	0	0	0	0	0	0	0.25	0.308641975	0	0	0
11823_Ribokinase	0	0.000311721	0	0.000223414	0.004504505	0	0	0	0	0	0.000311721	0	0	0.01	0	0	0	0
12051_Ribokinase	0	0	0	0	0	0	0	0.122807018	0.107142857	0	0	0	0	0	0	0	0.122807018	0.107142857
55774_hypothetical_protein	0	0	0.119241192	0.108265425	0	0	0	0	0	0	0	0.333333333	0.285714286	0	0	0	0	0
184693_ISNCY_family_transposase_ISRor2	0	0	0.171503958	0.181410974	0	0	0	0	0	0	0	0.041666667	0	0	0.052631579	0	0	0
184707_ISNCY_family_transposase_ISRor2	0	0	1	1	0.137254902	0.285714286	1	1	0	0	0	0.391304348	0.111111111	0	0	1	1	0
184711_ISNCY_family_transposase_ISRor2	0	0	0.000300391	0	0.219387755	0.43373494	0	0.130841121	0	0	0	0.318181818	0.125	0	0	0	0.130841121	0
366888_hypothetical_protein	0	0	0.000355492	0.000649562	1	1	1	1	0	0	0	1	1	0.113924051	0.287671233	1	1	0
377950_Alpha-D-ribose_1-methylphosphonate_5-triphosphate_synthase_subunit_PhnL	0	0	0	0	0.174358974	0.244444444	0	0	0	0	0	0	0	0.136363636	0.081632653	0	0	0
378191_Alpha-D-ribose_1-methylphosphonate_5-triphosphate_synthase_subunit_PhnL	0	0	0.000359971	0.000344353	0.128078818	0.363636364	0	0.107142857	0	0	0	1	1	0	0	0	0.107142857	0
378238_Alpha-D-ribose_1-methylphosphonate_5-triphosphate_synthase_subunit_PhnL	0	0	0	0	0.150289017	0.26984127	1	0.178082192	0	0	0	0	0	0.327102804	0.475609756	1	0.178082192	0
378362_Alpha-D-ribose_1-methylphosphonate_5-triphosphate_synthase_subunit_PhnL	1	0.000402414	0	0	0.333333333	0.434782609	0	0	0	1	1	0	0	0.32173913	0.449438202	0	0	0
400679_Poly-beta-1%2C6-N-acetyl-D-glucosamine_export_protein	0	0	0.000385208	1	0	0	0	0	0	0	0	0	0	0.072727273	0.268292683	0	0	0
400927_Poly-beta-1%2C6-N-acetyl-D-glucosamine_export_protein	0	0	0	0	0	0	0.142857143	0.111111111	0	0	0	0	0	0	0	0.142857143	0.111111111	0
401924_Poly-beta-1%2C6-N-acetyl-D-glucosamine_export_protein	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
401981_Poly-beta-1%2C6-N-acetyl-D-glucosamine_export_protein	0.00043611	0.000340136	0	0	0	0	0	0	0	0.00043611	0.000340136	0	0	0	0	0	0	0
402214_Poly-beta-1%2C6-N-acetyl-D-glucosamine_export_protein	0	0.000652955	0	0	0.119565217	0.298507463	0	0.093023256	0	0	0.000652955	0	0	0.138297872	0.292307692	0	0.093023256	0
402579_Poly-beta-1%2C6-N-acetyl-D-glucosamine_export_protein	0	0	0	0	0.166666667	0.3	0	0	0	0	0	0	0	0.269230769	0.315789474	0	0	0
410290_Thiol:disulfide_interchange_protein_DsbD	0	0.000367918	0.000349284	0	0.15625	0.383561644	0	0.076923077	0	0	0.000367918	0	0	0.153846154	0.375	0	0.076923077	0
410525_Thiol:disulfide_interchange_protein_DsbD	0	0	0.000662032	0.000343879	0	0	0	0	0	0	0	1	1	0	0	0	0	0
410720_Thiol:disulfide_interchange_protein_DsbD	0	0	0	0	0.054545455	0.014705882	0	0	0	0	0	0	0	0.171052632	0.307692308	0	0	0
410755_Thiol:disulfide_interchange_protein_DsbD	0	0.000372578	0.000350631	0	0.157232704	0.267857143	0	0.183098592	0	0	0.000372578	0	0	0.181818182	0.277777778	0	0.183098592	0
411023_Thiol:disulfide_interchange_protein_DsbD	0	0	0	0	0.269565217	0.203125	0	0.01369863	0	0	0	0	0	0.120481928	0.216666667	0	0.01369863	0
517129_hypothetical_protein	0	0	0	0	0.196428571	0.316666667	0	0.015625	0	0	0	0	0	0.1875	0.355555556	0	0.015625	0
517140_hypothetical_protein	0	0	0	0	0.244094488	0.309090909	0	0	0	0	0	0	0	0.214285714	0.405405405	0	0	0
517141_hypothetical_protein	0	0	0	0	0.218045113	0.37037037	0	0.076923077	0	0	0	0	0	0.066666667	0.306122449	0	0.076923077	0
578257_sn-glycerol-3-phosphate_import_ATP-binding_protein_UgpC	0.275862069	0.263157895	0	0	0.268518519	0.196428571	0	0	0	0	0	0	0	0.285714286	0.153846154	0	0	0
578402_sn-glycerol-3-phosphate_import_ATP-binding_protein_UgpC	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
578462_sn-glycerol-3-phosphate_import_ATP-binding_protein_UgpC	0	0	0	0	0.21025641	0.260273973	0	0	0	0	0	0	0	0.5	0.46875	0	0	0
578891_sn-glycerol-3-phosphate_import_ATP-binding_protein_UgpC	0	0	0	0	0.265	0.373493976	0	0.13559322	0	0	0	0	0	0.31372549	0.31372549	0	0.13559322	0
579050_sn-glycerol-3-phosphate_import_ATP-binding_protein_UgpC	0	0	0	0	0.43877551	0.357142857	0	0	0	0	0	0	0	0.43902439	0.341463415	0	0	0
579053_sn-glycerol-3-phosphate_import_ATP-binding_protein_UgpC	1	1	0	0	0.434343434	0.341463415	1	0	0	1	1	0	0	0.428571429	0.325	1	0	0
650411_HTH-type_transcriptional_regulator_NorG	0	0.000455373	0	0	0.13740458	0.109589041	0	0	0	0	0	0	0	0.133333333	0.079365079	0	0	0
650984_HTH-type_transcriptional_regulator_NorG	0.000371333	0	0	0	0.155963303	0.20212766	0	0	0	0	0	0	0	0.162601626	0.202247191	0	0	0
651002_HTH-type_transcriptional_regulator_NorG	0	0	0.219616205	0.220164609	0	0	0	0	0	0	0	0	0	0	0	0	0	0
681294_hypothetical_protein	0	0	0.252679939	0.252237592	0	0	0	0	0	0	0	0.357142857	0.333333333	0	0	0	0	0
681315_hypothetical_protein	0	0	0.000443459	0.000411184	0	0	0	0	0	0	0	0.341463415	0.12	0	0	0	0	0
681322_hypothetical_protein	0	0	0.393145161	0.408759124	0	0	0	0	0	0	0	0.295454545	0	0	0	0	0	0
681377_hypothetical_protein	0	0	0	0	0.284848485	0.4	1	0.141025641	0.307692308	0	0	0	0	0.05	0.235294118	1	0.141025641	0.307692308
681416_hypothetical_protein	0	0.000729395	0	0	0.062068966	0.240740741	0	0.204545455	0	0	0	0	0	0.078125	0.254901961	0	0.204545455	0
681443_hypothetical_protein	0	0.000992063	0	0	0	0.174603175	0	0.368421053	0	0	0	0	0	0	0.186440678	0	0.368421053	0
681516_hypothetical_protein	0	0	0.201769912	0.226795096	0.292134831	0.139534884	0.25	0.304347826	0	0	0	0	0	0	0	0.25	0.304347826	0
681548_hypothetical_protein	0.404458599	0.378947368	0	0	0	0.0625	0	0	0	0.461538462	0.421052632	0	0	0.061538462	0	0	0	0
681552_hypothetical_protein	1	1	0	0	0.055944056	0.081632653	0	0.285714286	0	1	1	0	0	0.073529412	0.066666667	0	0.285714286	0
681631_hypothetical_protein	0	0	0.000834028	0.00085034	0.166666667	0.121212121	1	0.033333333	0	0	0	0.366666667	0.347826087	0	0	1	0.033333333	0
691028_Mycothiol_acetyltransferase	0	0	0	0	0.123287671	0.085365854	0	0.046875	0	0	0	0	0	0.125	0.087719298	0	0.046875	0
