	SF2	SF3	SF12	SF14	SF17	SF20	SF21	SF24	SF25	SF26
328789_Chaperone_protein_TorD	0.367647059	0.475609756	1	1	0.4375	0.074074074	0.044776119	0	0.039215686	0.01754386
328806_Chaperone_protein_TorD	0.047619048	0.02739726	1	1	0.225806452	1	1	1	1	1
328878_TorCAD_operon_transcriptional_regulatory_protein_TorR	0.06122449	0.080645161	0	0	0.2	0	0	0	0	0
329117_TorCAD_operon_transcriptional_regulatory_protein_TorR	0.027777778	0.075757576	0	0	0.333333333	0.02173913	0.075	0	0	0
348651_Iron_uptake_system_component_EfeO	0	0	0	0	0	0	0	0.1	0	0
348657_Iron_uptake_system_component_EfeO	0.41509434	0.49122807	0	0	0.269230769	0	0	0.105263158	0	0
348666_Bifunctional_protein_PutA	0	0	0	0	0	0	0	0.047619048	0	0
349032_Iron_uptake_system_component_EfeO	0.098360656	0.08	0	0	0.476190476	0	0	0	0	0
349038_Bifunctional_protein_PutA	0.016393443	0	0	0	0.25	0	0	0	0.03125	0
349191_Bifunctional_protein_PutA	0	0.022727273	0	0	0.3125	0	0	0	0	0
349258_Bifunctional_protein_PutA	0	0	0	0	0.25	0	0	0	0	0
349431_Bifunctional_protein_PutA	0.060606061	0.1	0	0	0.333333333	0	0	0	0	0
349665_Bifunctional_protein_PutA	0	0	0	0	0	0	0	0	0	0
643899_Diguanylate_cyclase_DgcM	0.450704225	0.450980392	0	0	0.466666667	0.065217391	0	0	0	0
644133_Diguanylate_cyclase_DgcM	0.057142857	0	0	0	0.181818182	0	0	0	0.022727273	0
644304_Diguanylate_cyclase_DgcM	0.033898305	0.071428571	0	0	0.136363636	0	0	0	0	0
644376_tRNA-cytidine(32)_2-sulfurtransferase	1	1	1	1	0.4	0.016949153	0.036363636	0	1	1
849678_Trans-aconitate_2-methyltransferase	0	0	0	0	0	0	0	0	0	0
851797_Altronate_oxidoreductase	0.068181818	0.076923077	1	1	1	1	1	1	1	1
852763_Altronate_oxidoreductase	0.013157895	0.015625	0	0	0.290322581	0.064516129	0.039215686	0	0	0
852853_Altronate_oxidoreductase	0.026666667	0.072463768	0	0	0.172413793	0	0	0	0	0
873480_PTS_system_cellobiose-specific_EIIB_component	0.053571429	0.058823529	0	0	0	0	0	0	0	0
873678_putative_amino-acid_metabolite_efflux_pump	1	1	0	0	1	1	1	1	0	0
1245301_Protein_YobA	0	0	0	0	0	0.05	0	0	0	0
1263625_Holliday_junction_ATP-dependent_DNA_helicase_RuvB	0.024390244	0.047619048	1	1	0.142857143	0	0	1	1	1
1263954_Holliday_junction_ATP-dependent_DNA_helicase_RuvB	0.411764706	0.428571429	0	0	0	0	0.384615385	0.285714286	0	0
1272151_Trimethylamine-N-oxide_reductase_2	0.489361702	0.264705882	0	0	0.466666667	1	1	1	0	0
1272217_Trimethylamine-N-oxide_reductase_2	0	0	0	0	0.363636364	0	0.052631579	0	0	0
1272332_Trimethylamine-N-oxide_reductase_2	0	0	0	0	0.333333333	0	0	0	0.05	0
1272349_Cytochrome_c-type_protein_TorY	1	1	1	1	0.384615385	1	1	1	0.35	0.2
1272415_Cytochrome_c-type_protein_TorY	0.021276596	0.023255814	0	0	0.466666667	0	0	0	0.454545455	0.34
1272523_Trimethylamine-N-oxide_reductase_2	0	0	0	0	0.058823529	0	0	0	0.435897436	0.349206349
1272526_Cytochrome_c-type_protein_TorY	0	0	0	0	0	0	0	0	0.378378378	0.379310345
1272586_Trimethylamine-N-oxide_reductase_2	0.06557377	0.01754386	0	0	0.333333333	0	0	0	0	0
